compound_id,smiles,mol,score,Max_Tc_Train,MW,LogP,PAINS_Flag
ZINC_250K_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,<rdkit.Chem.rdchem.Mol object at 0x000001E1E575B3E0>,0.34070554,0.1111111111111111,168.236,0.7742,False
ZINC_250K_9994,NC(=O)CSSCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6885150>,0.3407012,0.13043478260869565,180.25399999999996,-0.6616,False
ZINC_250K_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E9734270>,0.34069,0.09433962264150944,304.775,3.723,False
ZINC_250K_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B1540>,0.34068987,0.08196721311475409,229.73499999999996,0.29000000000000004,False
ZINC_250K_1383,SCCCCn1cc[nH+]c1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E979AA40>,0.34068432,0.09836065573770492,157.26200000000003,1.0122,False
ZINC_250K_8114,Clc1cscc1-c1cscc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67CAF10>,0.34068224,0.13043478260869565,235.16,4.783400000000001,False
ZINC_250K_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E978CCF0>,0.3406777,0.08450704225352113,216.23299999999998,0.9717999999999998,False
ZINC_250K_2233,C/C=C/COCC(CC)(CC)CS,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5727E60>,0.34067255,0.07575757575757576,202.363,3.315300000000003,False
ZINC_250K_6199,CC(C)[NH+](C)CCOCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B0E40>,0.34067225,0.09523809523809523,162.277,-1.8319999999999963,False
ZINC_250K_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5765D20>,0.34067166,0.09230769230769231,207.15499999999997,3.842100000000003,False
ZINC_250K_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58298C0>,0.3406708,0.08433734939759036,214.398,2.0225,False
ZINC_250K_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58D0740>,0.34066308,0.13333333333333333,188.315,-1.8515999999999964,False
ZINC_250K_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57B5150>,0.3406575,0.0967741935483871,182.31099999999995,-1.5071999999999968,False
ZINC_250K_4465,OC[C@@H](Br)C(F)(F)Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5803D80>,0.34065545,0.15789473684210525,253.86799999999997,1.7299,False
ZINC_250K_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5784C80>,0.34065142,0.109375,190.331,-1.7545999999999962,False
ZINC_250K_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5872180>,0.34065053,0.10294117647058823,202.38599999999997,-0.2349999999999972,False
ZINC_250K_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57A84A0>,0.34065035,0.11940298507462686,174.308,0.46059999999999973,False
ZINC_250K_7615,OC[C@H]1CCC[NH+]1C1CCCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6797990>,0.34065014,0.10666666666666667,212.3569999999999,1.1388999999999991,False
ZINC_250K_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BD700>,0.3406489,0.17142857142857143,263.16700000000003,4.741500000000003,False
ZINC_250K_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67D7300>,0.34064713,0.0967741935483871,198.35399999999996,0.14740000000000086,False
ZINC_250K_8987,CC(C)c1n[nH]c(=S)n1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E681DD90>,0.34064645,0.125,157.242,1.60109,False
ZINC_250K_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68ADFC0>,0.340644,0.13043478260869565,182.20899999999997,1.4667999999999999,False
ZINC_250K_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5864F20>,0.3406427,0.19298245614035087,252.342,4.406290000000002,False
ZINC_250K_1438,C[C@@H](Cl)[C@@H](C)c1cscc1Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E97A4580>,0.34064174,0.10909090909090909,253.59199999999998,4.241400000000002,False
ZINC_250K_4914,CCC1(CC)CC[NH+](CCCCS)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5831700>,0.34064162,0.10294117647058823,230.44099999999995,2.1814999999999998,False
