Candidate_ID,SMILES,Max_Tanimoto_to_Train,Scaffold,Scaffold_Family,IFG_Score,Key_Functional_Groups,Attention_Rationale
IFG-V4-1000,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.245,Core_0,Scaffold_Fam_11,0.935,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1001,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.213,Core_1,Scaffold_Fam_8,0.954,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1002,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.164,Core_2,Scaffold_Fam_3,0.951,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1003,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.236,Core_3,Scaffold_Fam_7,0.937,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1004,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.299,Core_4,Scaffold_Fam_6,0.993,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1005,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.258,Core_5,Scaffold_Fam_5,0.963,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1006,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.191,Core_6,Scaffold_Fam_5,0.909,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1007,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.194,Core_7,Scaffold_Fam_1,0.954,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1008,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.232,Core_8,Scaffold_Fam_9,0.937,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1009,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.124,Core_9,Scaffold_Fam_1,0.967,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1010,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.1,Core_0,Scaffold_Fam_3,0.934,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1011,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.25,Core_1,Scaffold_Fam_7,0.948,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1012,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.219,Core_2,Scaffold_Fam_5,0.96,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1013,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.238,Core_3,Scaffold_Fam_3,0.967,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1014,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.194,Core_4,Scaffold_Fam_2,0.926,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1015,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.316,Core_5,Scaffold_Fam_4,0.943,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1016,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.225,Core_6,Scaffold_Fam_10,0.941,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1017,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.253,Core_7,Scaffold_Fam_9,0.937,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1018,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.259,Core_8,Scaffold_Fam_8,0.985,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1019,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.165,Core_9,Scaffold_Fam_3,0.958,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1020,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.209,Core_0,Scaffold_Fam_8,0.925,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1021,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.239,Core_1,Scaffold_Fam_4,0.968,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1022,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.23,Core_2,Scaffold_Fam_10,0.992,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1023,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.122,Core_3,Scaffold_Fam_4,0.971,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
IFG-V4-1024,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,0.231,Core_4,Scaffold_Fam_8,0.92,"Pyridine, Piperazine, Amide",Strong localization at ASP-82 (putative hinge binder)
