compound_id,smiles,score,Tc,docking_affinity
ZINC_29252,FC(F)(Cl)C(F)(F)C(F)(F)Cl,0.4316419,0.08333333333333333,0.0
ZINC_41626,Cl/C=C/C(Cl)(Cl)Cl,0.43162987,0.08333333333333333,0.0
ZINC_17012,CCC(CC)[C@@H](CC)[C@H](C)O,0.43162465,0.12698412698412698,0.0
ZINC_9994,NC(=O)CSSCC(N)=O,0.43160805,0.1794871794871795,0.0
ZINC_45400,[NH3+]CCCC[NH+]1CCCCC1,0.43160504,0.06779661016949153,0.0
ZINC_12317,CCC(CC)[C@H]([NH3+])CCC(C)C,0.43160263,0.11864406779661017,0.0
ZINC_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.43160236,0.0967741935483871,0.0
ZINC_24208,CC1(C)OC(=O)C(Br)(Br)C(=O)O1,0.43160218,0.125,0.0
ZINC_20051,CC(C)N(C(=S)S)C(C)C,0.43160143,0.09859154929577464,0.0
ZINC_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.4315989,0.1111111111111111,0.0
ZINC_22313,CCSC(SCC)C1N=NN=N1,0.4315988,0.09375,0.0
ZINC_45932,Fc1cc(F)c(F)c(I)c1,0.43159756,0.16666666666666666,0.0
ZINC_17939,C[C@H](O)CC[C@H](O)C(C)(C)C,0.43159658,0.11428571428571428,0.0
ZINC_34726,CC[C@@H](C)[NH+](CC)CCCC[NH3+],0.4315942,0.09859154929577464,0.0
ZINC_36604,NC(=S)S/C=C/C(=O)[O-],0.43159276,0.10204081632653061,0.0
ZINC_49282,C=C(SCC)/C(=N/C)SC,0.43159276,0.09375,0.0
ZINC_43020,O=C([O-])/C=C\C(F)(C(F)(F)F)C(F)(F)F,0.4315925,0.11764705882352941,0.0
ZINC_47226,F[C@H]1CCCC[C@@H]1Br,0.43159196,0.0967741935483871,0.0
ZINC_25584,CC[NH2+]C[C@H](CC(C)C)[C@H](C)CC,0.43159163,0.08955223880597014,0.0
ZINC_4465,OC[C@@H](Br)C(F)(F)Br,0.43159127,0.1346153846153846,0.0
ZINC_20738,FC1(F)O[C@H]2C=CC=C[C@@H]2OC1(F)F,0.43159086,0.09836065573770492,0.0
ZINC_34657,CCC(CC)[NH+](CC)C[C@@H](C)C#N,0.43159038,0.09433962264150944,0.0
ZINC_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,0.43159014,0.09836065573770492,0.0
ZINC_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,0.43159002,0.10666666666666667,0.0
ZINC_23742,C[C@@H](Br)CNCCC[NH3+],0.4315891,0.10144927536231885,0.0
