ID,name,Target,DOI,Patent number,Patent title,Efficacy Type,Model,Disease,Efficacy Data,Result,Units,Picture,Administration Time,Assay Method,Assay,Description
MG-4,"2,4-dichlorophenoxyacetic acid (2,4-D)",Brassica rapa subsp. Oleifera,10.1021/jf305153h,,,,,,IC50,55.6,nM,,3 days,,"The IC50 values of the title compounds were determined for the toxicity of inhibition to root growth of B. campestris (rape) by the following method: A defined amount of tested compounds dissolved in acetone was poured on a filter paper in Petri dishes (9 cm), and 10 B. campestris seeds after soaking in water for 6 h were placed on the filter paper. The Petri dishes with B. campestris seeds were placed in a lighting incubator (LRH-250-G) at 28 °C for 3 days with 10 h of lighting and 14 h in the dark. After 3 days of treatment, the inhibition percentage was calculated in comparison with the corresponding control using the length of the taproot as an indicator. Three replications of each concentration were performed. According to the average percentage of inhibition of B. campestris’s root at five concentrations for each tested compound (different IC50 values were determined at different ranges of five concentrations), the IC50 values were estimated by regression analysis using the logarithm of the concentration and probit of corresponding inhibition percentage.",Herbicidal activity against Brassica rapa subsp. oleifera assessed as inhibition of rape root growth
MG-4,"2,4-dichlorophenoxyacetic acid (2,4-D)",Cucumis sativus (cucumber),10.1021/jf104247w,,,,,,IC50,228,nM,,3 days,,"Determination of IC50 Values (Inhibition on the Growth of Cucumis sativa). The IC50 values of the title compounds were determined as the toxicity of inhibition to root growth of Cucumis sativa by the following method.A defined amount of test compound dissolved in acetone was poured on a filter paper in Petri dishes (9 cm), and 10 cucumber (Cucumis sativa) seeds after soaking in water for 6 h were placed on the filter paper. The Petri dishes with cucumber seeds were placed in a Lighting Incubator (LRH-250-G) at 28 °C for 3 days with 10 h of lighting and 14 h in the dark. After 3 days of treatment, the inhibition percentage was calculated by the corresponding control using the length of the taproot as indicator. Three replications per concentration were performed. According to the average percentage of inhibition of cucumber root at five concentrations for each test compound (a different IC50 value was determined at different range of five concentrations), the IC50 values were estimated by regression analysis using the logarithm of concentration and probit of corresponding inhibition percentage;",Herbicidal activity against Cucumis sativus Jin 4 (cucumber) assessed as inhibition of root growth after 3 days
MG-4,"2,4-dichlorophenoxyacetic acid (2,4-D)","LOC127128483 - pyruvate dehydrogenase E1 component subunit beta, mitochondrial (garden pea)",10.1021/jf305153h,,,,,,IC50,4530000,nM,,,spectrophotometric assay,,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay
MG-5,1-naphthalene acetic acid (1-NAA),Human T1R2/T1R3 receptor,10.1021/jm900823s,,,Cell Line,HEK293E cell,,IC50,0.233,nM,,24 h,Heterologous Calcium Assay,"HEK293E cells were cultured at 37 °C in Optimem GlutaMAX culture medium (Invitrogen) supplemented with 4% dialyzed fetal bovine serum. Cells were transfected with the DNA constructs using lipofectamine2000 according to the manufacturer’s protocol (Invitrogen). Briefly, cells were seeded onto 96-well poly-d-lysine plates (Corning) at about 12500 cells/well 18 h prior to transfection and cotransfected with plasmid DNAs encoding T1Rs and G 16-gust44 (0.1 μg total DNA/well; 0.2 μL lipofectamine/well). After 24 h, the transfected cells were washed once with the culture medium and incubated for another 24 h. The cells were washed with HBSS supplemented with 20 mM Hepes (HBSS-H), loaded with 3 μM Fluo-4AM (Molecular Probe) in HBSS-H buffer, incubated for 1.5 h at room temperature, and then washed with HBSS-H and maintained in HBSS-H at 25 °C. The plates of dye-loaded transfected cells were placed into a FlexStation II apparatus (Molecular Devices) to monitor fluorescence (excitation, 488 nm; emission, 525 nm; cutoff, 515 nm). Sweeteners were added 30 s after the start of the scan at 2× concentration in 50 μL of HBSS-H while monitoring fluorescence for an additional 200 s at 2 s intervals. Inhibitors were added concomitantly to the sweeteners on the cells.",Antagonist activity at human T1R2/T1R3 receptor expressed in HEK293E cells assessed as inhibition of sucralose-induced intracellular calcium mobilization
MG-6,"2-methoxy-3,6-dichlorobenzoic acid (dicamba)",Solanum lycopersicum,10.1016/j.cropro.2006.02.010,,,,Solanum lycopersicum,,,91,%,,77 days,,,Phytotoxicity in Solanum lycopersicum (tomato) plant in non-fumigated soil assessed as crop epinasty at 0.57 kg/ha after 77 days relative to control
MG-7,"4-amino-3,5,6-trichloropicolinic acid (tordon or picloram)",VDR - vitamin D receptor (human),BioAssay AID: 743223,,,Cell Line,VDR-bla cells,,Potency,201,nM,,16 h,qHTS assay,"VDR-bla cells were dispensed at 2,000 cells/5 uL of assay medium per well into black wall/clear-bottom 1536-well plates using a Multidrop Combi (Thermo Fisher Scientific, Waltham, MA) dispenser. After the assay plates were incubated at a 37C and 5% CO2 for 4 h, 23 nL of compounds dissolved in DMSO, positive controls or DMSO only was transferred to the assay plate by a Pintool station (Kalypsys, San Diego, CA), followed by addition of 1 uL of 1alpha, 25-Dihydroxy Vitamin D3 (3 nM, final concentration in the wells) using a Bioraptr Flying Reagent Dispenser (FRD) workstation (Beckman Coulter, Indianapolis, IN). The plates were incubated at 37C and 5% CO2 for 16 h, and then 1 uL of LiveBLAzerTM B/G FRET substrate was added using a Bioraptr FRD. The plates were incubated at room temperature for 2 h and fluorescence intensity was measured by an Envision plate reader (PerkinElmer, Shelton, CT).",qHTS assay to identify small molecule antagonists of the vitamin D receptor (VDR) signaling pathway
MG-7,"4-amino-3,5,6-trichloropicolinic acid (tordon or picloram)",VDR - vitamin D receptor (human),BioAssay AID: 1159517,,,Cell Line,ESRE-bla HeLa cells,,Potency,159.6,nM,,5 h,qHTS assay,"ESRE-bla HeLa cells were dispensed at 1,500 cells/6 uL of assay medium per well into black wall/clear-bottom 1536-well plates using a Multidrop Combi (ThermoFisher Scientific, Waltham, MA) dispenser. After the assay plates were incubated at 37 C and 5% CO2 for an overnight, 23 nL of compounds dissolved in DMSO, positive controls or DMSO only was transferred to the assay plate by a Pintool station (Kalypsys, San Diego, CA). The assay plates were incubated at 37 C and 5% CO2 for 5 hr. One uL of LiveBLAzer B/G FRET substrate (Life Technologies) was added using a FRD (Flying Reagent Dispenser, Aurora Discovery, San Diego, CA) and the plates were incubated at room temperature for 2 hr. Fluorescence intensity (405 nm excitation, 460 nm and 530 nm emissions) was measured using an Envision plate reader (PerkinElmer, Shelton, CT). For cytotoxicity, 4 ul/well of CellTiter-Glo reagent was added into the assay plates using an FRD. After 30 min incubation at room temperature, the luminescence intensity was measured using a ViewLux plate reader (PerkinElmer).",qHTS assay to identify small molecule agonists of the endoplasmic reticulum stress response signaling pathway - cell viability counter screen
MG-9,Baicalin,Ricin,10.1074/jbc.M114.632828,,,Cell Line,HeLa cells,Human cervical cancer,Cell viability,,,Baicalin-CV,,,"HeLa cells were cultured in Dulbecco's modified Eagle's medium (DMEM) supplemented with 3 mm glutamine, antibiotics (100 units/ml penicillin and 100 units/ml streptomycin), 10% heat-inactivated fetal bovine serum, at 37 °C in 5% CO2 in a humidified incubator. For the assay, HeLa cells were plated into 96-well plates at a density of 1.5 × 104 cells per well in DMEM and incubated for 16 h at 37 °C in 5% CO2. The cells were incubated with 1 ng/ml ricin (capable of killing about 80% of cells as determined in pilot experiments) with BAI at different concentrations for 72 h at 37 °C. Negative controls without toxin were similarly established. Cell viability was evaluated by lactate dehydrogenase (LDH) release using a cytotoxicity detection kit (LDH) (Roche Applied Science) according to the manufacturer's directions. Plates were read on a microplate reader (TECAN, Austria) at 490 nm. To measure the effect of baicalin on cell viability, cells were incubated with various concentrations of the compound for 2 h, and viability was then evaluated spectrophotometrically at 490 nm using the nonradioactive cell proliferation assay kit (Promega, Madison, WI) following the manufacturer's instructions.","At concentrations sufficient for significantly inhibiting the toxicity, BAI exerted negligible effects on cell viability; significant inhibition only was observed when 144 μm was incubated with HeLa cells (Fig. 1D)."
MG-9,Baicalin,Ricin,10.1074/jbc.M114.632828,,,Animal Model,mouse,,In vitro inhibition,,,Baicalin-In vivo,6 days,,"A,  a single dose of ricin (∼2 × LD50, 500 ng) led to 100% deaths within 6 days,baicalin protects mice against lethality caused by ricin. Groups (n = 10) of mice injected with ricin were treated with saline solution or with BAI 6 h post-toxin injection as described under “Experimental Procedures,” and the survival of the animals was monitored for 6 days (d). The death of mice was followed up to 6 days after ricin injection with no additional mortalities shown in the figure. The curves for treated mice with BAI are statistically different from ricin-injected mice as evaluated by the log rank test, p = 0.0001 for 100 mg/kg BAI against ricin. B, effects of BAI on body weight caused by ricin. Groups (n = 10) of mice injected with ricin or control solution were administered with BAI or PBS 6 h post-toxin injection. The body weight was monitored daily for 10 days. Similar results were obtained from more than three independent experiments; *, p < 0.05; ** p < 0.01.","Given the effectiveness of BAI in in vitro inhibition of the activity of ricin, we investigated the usefulness of this compound in the protection of animals exposed to the toxin (under our experimental conditions, the LD50 value of ricin is about 250 ng/mouse). A mouse model in which the toxin was administered by intraperitoneal injection was used. Under our experimental condition, a single dose of ricin (∼2 × LD50, 500 ng) led to 100% deaths within 6 days (Fig. 2A). These animals started to exhibit signs of tremors and ataxia 2 days after receiving the toxins, and death began to occur on the 3rd day (Fig. 2A). After testing several doses ranging from 50 to 300 mg/kg, we found that mice could be effectively protected by BAI at 100 mg/kg, which was then chosen for further experiments. In animals that received BAI subcutaneously, 100 mg/kg 6 h post-exposure and subsequently at 6-h intervals during the entire experimental duration, significant protection was achieved in animals exposed to ricin, in which 50% of the animals survived (Fig. 2A). These results established that BAI could provide effective therapeutic protection against lethality caused by ricin.We further evaluated the therapeutic effects of BAI against the weight loss symptom associated with ricin. Mice injected with PBS or a single dose of ricin (500 ng per mouse) were monitored for body weight at 24-h intervals. In the treated group, 100 mg/kg BAI was administered 6 h after toxin injection and subsequently at 6-h intervals. As expected, in control mice receiving a saline solution, the body weight remained constant during the entire experimental duration (Fig. 2B). In contrast, in the group injected with the toxin, the animals exhibited decreased food and water intake. Weight loss became apparent in 2 days, and the mice appeared to regain the weight after reaching the lowest point on the 4th day (Fig. 2B); then all the mice in the group injected with ricin died on the 5th day. Treatment with BAI delayed the occurrence of the weight loss for about 24 h; furthermore, the symptom was significantly less severe in the entire experimental duration (Fig. 2B)."
MG-10,NRX-1532,pSer33/Ser37 β-catenin:β-TrCP interaction,10.1038/s41467-019-09358-9,,,Protein,,,EC50,0.206,nM,NRX-1532-Binding,,,"In binding enhancement assays, the peptide concentrations were held constant at 107, 85, 10, 5, and 85nM for the pSer33/Ser37, pS33/S37A, pS33/S37C, pS33/S37F, and S33E/S37A peptides, respectively.Enhancement of pSer33/Ser37 β-catenin peptide binding to β-TrCP with increasing concentrations of NRX-1532. In each assay, the concentration of either β-TrCP or β-catenin was adjusted to obtain 20% binding saturation in the absence of compound. Shown is a representative experiment, values reported are averages","Further characterization of NRX-1532 confirmed that it enhances the pSer33/Ser37 β-catenin:β-TrCP interaction in a dose-dependent manner in the FP assay with a potency (EC50) of 206±54μM, as well as in orthogonal TR-FRET and SPR binding assays with similar EC50 values of 246±17μM and 129±33μM, respectively (Fig. 1d)."
