Patent Number,Application Id,Application Number,Application Date,Country,Application Title,I P C
83,US42727238,11793916,20.12.2005,US,Engineering resistance to Pierce's disease by expression of a <i>Xyella fastidiosa </i>HecA-like hemagglutinin protein,A01H 5/00; C12N 15/09; C12N 15/82; C12N 1/21; C12N 1/21; C12N 1/21
84,WO2006069160,PCT/US2005/046395,20.12.2005,WO,ENGINEERING RESISTANCE TO PIERCE'S DISEASE BY EXPRESSION OF A XYLELLA FASTIDIOSA HECA-LIKE HEMAGGLUTININ PROTEIN,A01H 1/00
88,WO2007088406,PCT/IB2006/000275,01.02.2006,WO,USE OF DNA OR FRAGMENTS OR ANALOGS THEREOF AS A MOLECULAR GLUE,C12Q 1/68
97,US42644762,11915840,30.05.2006,US,Molecular Glue,C12P 21/00; C07K 14/44
98,CA94344255,2609552,30.05.2006,CA,MOLECULAR GLUE,C09J 189/00; A61K 39/02; C07K 14/195
99,WO2006128678,PCT/EP2006/005158,30.05.2006,WO,MOLECULAR GLUE,C09J 189/00; C07K 14/195; A61K 39/02
185,WO2014094539,PCT/CN2013/088478,04.12.2013,WO,基于分子胶的ABA型三嵌段共聚物及其合成、用途,C08G 81/00; C08J 3/07; A61K 47/34
264,US217775617,15821111,22.11.2017,US,METHODS AND COMPOSITIONS FOR THE DIAGNOSIS AND SELECTIVE TREATMENT OF CANCER,A61K 31/404; A61K 31/381; A61K 31/498; A61P 35/00; G01N 33/574
303,US318018205,17046973,12.04.2019,US,"E3 UBIQUITIN LIGASE AGONISTS, PHARMACEUTICAL COMPOSITIONS INCLUDING THE E3 UBIQUITIN LIGASE AGONISTS, RELATED METHODS OF USE",C07D 231/38; C07D 231/56
304,WO2019200310,PCT/US2019/027309,12.04.2019,WO,"E3 UBIQUITIN LIGASE AGONISTS, PHARMACEUTICAL COMPOSITIONS INCLUDING THE E3 UBIQUITIN LIGASE AGONISTS, RELATED METHODS OF USE",C07D 401/00; C07D 401/14
326,US336568730,17285698,16.10.2019,US,METHOD FOR IDENTIFYING A CHEMICAL COMPOUND OR AGENT INDUCING UBIQUITINATION OF A PROTEIN OF INTEREST,G01N 33/50
327,EP334739578,19786586,16.10.2019,EP,"VERFAHREN ZUR IDENTIFIZIERUNG EINER CHEMISCHEN VERBINDUNG ODER EINES MITTELS, DAS DIE UBIQUITINIERUNG EINES INTERESSIERENDEN PROTEINS INDUZIERT",G01N 33/50
328,WO2020079103,PCT/EP2019/078125,16.10.2019,WO,METHOD FOR IDENTIFYING A CHEMICAL COMPOUND OR AGENT INDUCING UBIQUITINATION OF A PROTEIN OF INTEREST,G01N 33/50
354,US370522722,17620394,23.06.2020,US,E3 LIGASE BINDERS AND USES THEREOF,C07D 487/04; C07D 401/04; A61P 35/00; A61P 35/02
355,WO2020263832,PCT/US2020/039145,23.06.2020,WO,E3 LIGASE BINDERS AND USES THEREOF,C07D 487/04; A61K 31/519
356,AU340505173,2020307544,23.06.2020,AU,E3 ligase binders and uses thereof,C07D 487/04; A61K 31/519
357,CA348243096,3144401,23.06.2020,CA,E3 LIGASE BINDERS AND USES THEREOF,C07D 487/04; A61K 31/519
368,US376433356,17641759,11.09.2020,US,FUSED CYCLIC COMPOUND CAPABLE OF DEGRADING PROTEIN AND USE THEREOF,C07D 405/04; C07D 405/14; C07D 413/04
369,CA358705895,3150653,11.09.2020,CA,FUSED CYCLIC COMPOUND CAPABLE OF DEGRADING PROTEIN AND USE THEREOF,C07D 405/04; A61K 31/4525; A61P 35/02; A61P 37/02; C07D 261/20; C07D 307/79; C07D 405/14
376,US395656930,17769811,16.10.2020,US,OXAZOLE AND THIOAZOLE-TYPE CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 401/12; C07D 471/04; C07D 235/28; C07D 417/14; C07D 417/06
377,WO2021074414,PCT/EP2020/079264,16.10.2020,WO,OXAZOLE AND THIOAZOLE-TYPE CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,A61P 3/00; A61K 31/4184; A61K 31/427; A61K 31/53; A61P 25/00; A61P 31/00; A61P 35/00; C07D 401/12; C07D 411/06; C07D 411/14; C07D 487/06
378,CA360699471,3157896,16.10.2020,CA,OXAZOLE AND THIOAZOLE-TYPE CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,C07D 417/12; A61K 31/4184; A61K 31/427; A61K 31/437; A61K 31/4439; A61K 31/53; A61P 35/00; C07D 235/28; C07D 401/12; C07D 411/14; C07D 417/06; C07D 471/04; C12Q 1/02; C12Q 1/25
379,AU362974840,2020366135,16.10.2020,AU,Oxazole and thioazole-type cullin ring ubiquitin ligase compounds and uses thereof,A61P 3/00; A61K 31/4184; A61K 31/427; A61K 31/53; A61P 25/00; A61P 31/00; A61P 35/00; C07D 401/12; C07D 411/06; C07D 411/14; C07D 487/06
380,WO2021074418,PCT/EP2020/079268,16.10.2020,WO,CARBAZOLE-TYPE CULLIN RING UBIQUITIN LIGASE COMPOUNDS AND USES THEREOF,A61P 35/00; C07D 487/04; A61K 31/53
396,US395386846,17786161,16.12.2020,US,COMPOUNDS MODULATING PROTEIN RECRUITMENT AND/OR DEGRADATION,C07D 401/04; C07D 417/04; C07D 211/40; C07D 471/04; C07D 401/14; C07D 495/04; C07D 491/056; C07D 487/04; C07D 491/048; C07D 405/14; A61P 43/00
397,CA373084626,3162261,16.12.2020,CA,COMPOUNDS MODULATING PROTEIN RECRUITMENT AND/OR DEGRADATION,C07D 401/04; A61K 31/454; A61K 31/4545; A61K 31/4709; A61K 31/496; A61K 31/497; A61K 31/498; A61K 31/501; A61K 31/506; A61K 31/517; A61K 31/519; A61K 31/53; A61K 31/5377; A61P 35/00; A61P 37/06; C07D 209/48; C07D 211/88; C07D 235/26; C07D 239/54; C07D 401/12; C07D 401/14; C07D 403/04; C07D 405/14; C07D 409/04; C07D 417/04; C07D 471/04; C07D 471/10; C07D 473/00; C07D 487/04; C07D 491/044; C07D 491/056; C07D 491/08; C07D 491/107; C07D 519/00
398,WO2021126973,PCT/US2020/065303,16.12.2020,WO,COMPOUNDS MODULATING PROTEIN RECRUITMENT AND/OR DEGRADATION,A61K 31/506; A61K 45/06
399,AU366133379,2020404956,16.12.2020,AU,Compounds modulating protein recruitment and/or degradation,A61K 31/506; A61K 45/06
409,CN371144457,202080086519.X,18.12.2020,CN,作为抗癌化合物的CULLIN 3连接蛋白KBTBD4的调节剂,A61K 31/519; A61P 35/00
410,US393380183,17756972,18.12.2020,US,MODULATORS OF CULLIN 3 ADAPTOR KBTBD4 AS ANTI-CANCER COMPOUNDS,A61K 31/519; A61P 35/00
411,CA368127278,3164153,18.12.2020,CA,MODULATORS OF CULLIN 3 ADAPTOR KBTBD4 AS ANTI-CANCER COMPOUNDS,A61K 31/519; A61P 35/00
412,EP377264630,20903959,18.12.2020,EP,MODULATOREN VON CULLIN-3-ADAPTER KBTBD4 ALS VERBINDUNGEN GEGEN KREBS,A61K 31/519; A61P 35/00
413,WO2021119834,PCT/CA2020/051755,18.12.2020,WO,MODULATORS OF CULLIN 3 ADAPTOR KBTBD4 AS ANTI-CANCER COMPOUNDS,A61K 31/519; A61P 35/00
414,AU366988955,2020409437,18.12.2020,AU,Modulators of Cullin 3 adaptor KBTBD4 as anti-cancer compounds,A61K 31/519; A61P 35/00
417,US415370624,17791364,08.01.2021,US,SMALL MOLECULE MODULATORS OF KSR-BOUND MEK,A61K 31/519
418,WO2021142345,PCT/US2021/012808,08.01.2021,WO,SMALL MOLECULE MODULATORS KSR-BOUND MEK,C07K 16/00; C12Q 1/68; G01N 33/00
428,US396244029,17908422,02.03.2021,US,NEW INHIBITORS FOR THE KEAP1-NRF2 PROTEIN-PROTEIN INTERACTION,A61K 31/655; A61K 31/341; A61K 31/196; A61K 31/53; A61K 31/55; A61K 31/454; A61K 31/421; A61K 31/635; A61K 31/4245; A61K 31/50; A61K 31/437; A61K 31/4709; A61K 31/4155; A61K 31/351; A61K 31/422; A61K 31/18; A61K 31/4192; A61K 31/433; A61K 31/4375; A61K 31/5513; A61K 31/47; A61K 31/4985; A61K 31/473; A61K 31/5025; A61K 31/506; A61K 31/366; A61K 31/44; A61K 31/4439; A61K 31/4725; A61K 31/403; A61K 31/4184; A61K 31/5377; A61K 31/538; A61K 31/41; A61K 31/498; A61K 31/502
429,WO2021178355,PCT/US2021/020389,02.03.2021,WO,NEW INHIBITORS FOR THE KEAP1-NRF2 PROTEIN-PROTEIN INTERACTION,A61K 31/35; A61K 31/352; C07D 311/04; C07D 493/04
456,WO2021239117,PCT/CN2021/096782,28.05.2021,WO,MODIFIED PROTEINS AND PROTEIN DEGRADERS,C07K 19/00
493,US392323772,17496628,07.10.2021,US,MODIFIED PROTEINS AND PROTEIN DEGRADERS,A61K 47/64; A61K 47/54
457,WO2021249517,PCT/CN2021/099517,10.06.2021,WO,A MOLECULAR GLUE REGULATING CDK12-DDB1 INTERACTION TO TRIGGER CYCLIN K DEGRADATION,C07D 403/12; C07D 417/02; C07D 417/12; C07D 283/02; C07D 285/01; C07D 247/02; A61K 31/426; A61P 35/00
462,AU392362214,2021314401,20.07.2021,AU,"Sulfur-containing isoindoline derivative, and preparation method therefor and medical use thereof",C07D 401/14; A61K 31/454; A61P 35/00
463,US404726884,18017388,20.07.2021,US,"SULFUR-CONTAINING ISOINDOLINE DERIVATIVE, AND PREPARATION METHOD THEREFOR AND MEDICAL USE THEREOF",C07D 401/14; A61P 35/00
464,CA393084664,3184711,20.07.2021,CA,"SULFUR-CONTAINING ISOINDOLINE DERIVATIVE, AND PREPARATION METHOD THEREFOR AND MEDICAL USE THEREOF",C07D 401/14; A61K 31/454
465,EP398489958,21847148,20.07.2021,EP,SCHWEFELHALTIGES ISOINDOLINDERIVAT UND HERSTELLUNGSVERFAHREN DAFÜR UND MEDIZINISCHE VERWENDUNG DAVON,C07D 401/14; A61K 31/454; A61K 45/06; A61P 35/00; C07D 205/04; C07D 207/12; C07D 211/54; C07D 401/12; C07D 403/12
473,WO2022035804,PCT/US2021/045317,10.08.2021,WO,SUBSTITUTED 3-AMINO-4-METHYLBENZENESULFONAMIDES AS SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28,C07C 311/39; C07C 311/44; C07C 317/40; C07D 233/61; C07D 235/10; C07D 295/135; C07D 295/15; C07D 295/26; A61P 35/00; C07C 233/66
474,AU393406673,2021324967,10.08.2021,AU,Substituted 3-amino-4-methylbenzenesulfonamides as small molecule inhibitors of ubiquitin-specific protease 28,C07C 311/39; A61P 35/00; C07C 233/66; C07C 311/44; C07C 317/40; C07D 233/61; C07D 235/10; C07D 295/135; C07D 295/15; C07D 295/26
475,CA393085348,3191166,10.08.2021,CA,SUBSTITUTED 3-AMINO-4-METHYLBENZENESULFONAMIDES AS SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28,C07C 311/46; A61K 31/18; A61K 31/4164; A61K 31/4184; A61K 31/4453; A61K 31/495; A61P 35/00; C07D 233/61; C07D 235/10; C07D 295/135; C07D 295/15; C07D 295/26
484,US406091222,18020492,10.08.2021,US,SUBSTITUTED 3-AMINO-4-METHYLBENZENESULFONAMIDES AS SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28,C07C 311/46; C07C 317/26; C07D 295/26; C07D 295/12; C07D 233/58; C07C 233/65; C07D 235/06
476,AU393406676,2021325872,10.08.2021,AU,"Substituted 1,2,4-oxadiazoles as small molecule inhibitors of ubiquitin-specific protease 28",C07D 231/54; A61K 31/4155; A61K 31/4196; A61K 31/42; A61K 31/4245; A61P 35/00; C07D 271/06; C07D 401/04; C07D 413/04; C07D 413/14
477,US405661127,18020493,10.08.2021,US,"SUBSTITUTED 1,2,4-OXADIAZOLES AS SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28",C07D 413/04; C07D 413/14; C07D 413/06; C07D 413/12
478,WO2022035805,PCT/US2021/045319,10.08.2021,WO,"SUBSTITUTED 1,2,4-OXADIAZOLES AS SMALL MOLECULE INHIBITORS OF UBIQUITIN-SPECIFIC PROTEASE 28",C07D 231/54; C07D 271/06; C07D 401/04; C07D 413/04; C07D 413/14; A61K 31/4245; A61P 35/00; A61K 31/4155; A61K 31/4196; A61K 31/42
