Reference,PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,Link,DOI
1,20229546,"Adhesion effects of a guanidinium ion appended dendritic ""molecular glue"" on the ATP-driven sliding motion of actomyosin","Okuro K, Kinbara K, Takeda K, Inoue Y, Ishijima A, Aida T.",Angew Chem Int Ed Engl. 2010 Apr 12;49(17):3030-3. doi: 10.1002/anie.200906139.,Okuro K,Angew Chem Int Ed Engl,2010,2010-03-16,,https://doi.org/10.1002/anie.200906139,10.1002/anie.200906139
2,20505777,The role of Phe82 and Phe351 in auxin-induced substrate perception by TIR1 ubiquitin ligase: a novel insight from molecular dynamics simulations,"Hao GF, Yang GF.",PLoS One. 2010 May 20;5(5):e10742. doi: 10.1371/journal.pone.0010742.,Hao GF,PLoS One,2010,2010-05-28,PMC2873998,https://doi.org/10.1371/journal.pone.0010742,10.1371/journal.pone.0010742
3,25847243,Baicalin inhibits the lethality of ricin in mice by inducing protein oligomerization,"Dong J, Zhang Y, Chen Y, Niu X, Zhang Y, Li R, Yang C, Wang Q, Li X, Deng X.",J Biol Chem. 2015 May 15;290(20):12899-907. doi: 10.1074/jbc.M114.632828. Epub 2015 Apr 5.,Dong J,J Biol Chem,2015,2015-04-08,PMC4432304,https://doi.org/10.1074/jbc.M114.632828,10.1074/jbc.M114.632828
4,30926793,Prospective discovery of small molecule enhancers of an E3 ligase-substrate interaction,"Simonetta KR, Taygerly J, Boyle K, Basham SE, Padovani C, Lou Y, Cummins TJ, Yung SL, von Soly SK, Kayser F, Kuriyan J, Rape M, Cardozo M, Gallop MA, Bence NF, Barsanti PA, Saha A.",Nat Commun. 2019 Mar 29;10(1):1402. doi: 10.1038/s41467-019-09358-9.,Simonetta KR,Nat Commun,2019,2019-03-31,PMC6441019,https://doi.org/10.1038/s41467-019-09358-9,10.1038/s41467-019-09358-9
5,30977371,Molecular Glue that Spatiotemporally Turns on Protein-Protein Interactions,"Mogaki R, Okuro K, Ueki R, Sando S, Aida T.",J Am Chem Soc. 2019 May 22;141(20):8035-8040. doi: 10.1021/jacs.9b02427. Epub 2019 Apr 18.,Mogaki R,J Am Chem Soc,2019,2019-04-13,,https://doi.org/10.1021/jacs.9b02427,10.1021/jacs.9b02427
6,31560543,Simple Structural Modifications Converting a Bona fide MDM2 PROTAC Degrader into a Molecular Glue Molecule: A Cautionary Tale in the Design of PROTAC Degraders,"Yang J, Li Y, Aguilar A, Liu Z, Yang CY, Wang S.",J Med Chem. 2019 Nov 14;62(21):9471-9487. doi: 10.1021/acs.jmedchem.9b00846. Epub 2019 Oct 21.,Yang J,J Med Chem,2019,2019-09-28,PMC7354697,https://doi.org/10.1021/acs.jmedchem.9b00846,10.1021/acs.jmedchem.9b00846
7,31686031,Structural complementarity facilitates E7820-mediated degradation of RBM39 by DCAF15,"Faust TB, Yoon H, Nowak RP, Donovan KA, Li Z, Cai Q, Eleuteri NA, Zhang T, Gray NS, Fischer ES.",Nat Chem Biol. 2020 Jan;16(1):7-14. doi: 10.1038/s41589-019-0378-3. Epub 2019 Nov 4.,Faust TB,Nat Chem Biol,2020,2019-11-06,PMC6917914,https://doi.org/10.1038/s41589-019-0378-3,10.1038/s41589-019-0378-3
8,31699609,An isoform-selective inhibitor of tropomyosin receptor kinase A behaves as molecular glue,"Furuya N, Momose T, Katsuno K, Fushimi N, Muranaka H, Handa C, Sawa M, Ozawa T, Kinoshita T.",Bioorg Med Chem Lett. 2020 Jan 1;30(1):126775. doi: 10.1016/j.bmcl.2019.126775. Epub 2019 Oct 28.,Furuya N,Bioorg Med Chem Lett,2020,2019-11-09,,https://doi.org/10.1016/j.bmcl.2019.126775,10.1016/j.bmcl.2019.126775
9,32494016,The CDK inhibitor CR8 acts as a molecular glue degrader that depletes cyclin K,"Słabicki M, Kozicka Z, Petzold G, Li YD, Manojkumar M, Bunker RD, Donovan KA, Sievers QL, Koeppel J, Suchyta D, Sperling AS, Fink EC, Gasser JA, Wang LR, Corsello SM, Sellar RS, Jan M, Gillingham D, Scholl C, Fröhling S, Golub TR, Fischer ES, Thomä NH, Ebert BL.",Nature. 2020 Sep;585(7824):293-297. doi: 10.1038/s41586-020-2374-x. Epub 2020 Jun 3.,Słabicki M,Nature,2020,2020-06-05,PMC7486275,https://doi.org/10.1038/s41586-020-2374-x,10.1038/s41586-020-2374-x
10,32572277,Manumycin polyketides act as molecular glues between UBR7 and P53,"Isobe Y, Okumura M, McGregor LM, Brittain SM, Jones MD, Liang X, White R, Forrester W, McKenna JM, Tallarico JA, Schirle M, Maimone TJ, Nomura DK.",Nat Chem Biol. 2020 Nov;16(11):1189-1198. doi: 10.1038/s41589-020-0557-2. Epub 2020 Jun 22.,Isobe Y,Nat Chem Biol,2020,2020-06-24,PMC7572527,https://doi.org/10.1038/s41589-020-0557-2,10.1038/s41589-020-0557-2
