id,content,doi,patent_link,title,journal,document_type,pubmed_id,year,month,day,volume,issue,first_page,last_page
1,"Choi, J., Chen, J., Schreiber, S. L., & Clardy, J. (1996). Structure of the FKBP12-rapamycin complex interacting with the binding domain of human FRAP. Science, 273(5272), 239–242.",10.1126/science.273.5272.239,,Structure of the FKBP12-rapamycin complex interacting with the binding domain of human FRAP.,Science,Scientific Literature,8662507,1996,7,12,273,5272,239,242
2,"Banaszynski, L. A., Liu, C. W., & Wandless, T. J. (2005). Characterization of the FKBP.rapamycin.FRB ternary complex. Journal of the American Chemical Society, 127(13), 4715–4721.",10.1021/ja043277y,,Characterization of the FKBP.rapamycin.FRB ternary complex.,Journal of the American Chemical Society,Scientific Literature,15796538,2005,4,6,127,13,4715,4721
3,"Wu, H. D., Kikuchi, M., Dagliyan, O., Aragaki, A. K., Nakamura, H., Dokholyan, N. V., Umehara, T., & Inoue, T. (2020). Rational design and implementation of a chemically inducible heterotrimerization system. Nature Methods, 17(9), 928–936.",10.1038/s41592-020-0913-x,,Rational design and implementation of a chemically inducible heterotrimerization system.,Nature Methods,Scientific Literature,32747768,2020,8,3,17,9,928,936
4,"März, A. M., Fabian, A. K., Kozany, C., Bracher, A., & Hausch, F. (2013). Large FK506-binding proteins shape the pharmacology of rapamycin. Molecular and Cellular Biology, 33(7), 1357–1367.",10.1128/MCB.00678-12,,Large FK506-binding proteins shape the pharmacology of rapamycin.,Molecular and Cellular Biology,Scientific Literature,23358420,2013,3,20,33,7,1357,1367
5,"Liang, J., Choi, J., & Clardy, J. (1999). Refined structure of the FKBP12-rapamycin-FRB ternary complex at 2.2 A resolution. Acta crystallographica. Section D, Biological crystallography, 55(Pt 4), 736–744.",10.1107/s0907444998014747,,Refined structure of the FKBP12-rapamycin-FRB ternary complex at 2.2 A resolution.,"Acta crystallographica. Section D, Biological crystallography",Scientific Literature,10089303,1999,4,,55,Pt 4,736,744
6,"Renault, L., Guibert, B., & Cherfils, J. (2003). Structural snapshots of the mechanism and inhibition of a guanine nucleotide exchange factor. Nature, 426(6966), 525–530.",10.1038/nature02197,,Structural snapshots of the mechanism and inhibition of a guanine nucleotide exchange factor.,Nature,Scientific Literature,14654833,2003,12,4,426,6966,525,530
7,"Mossessova, E., Corpina, R. A., & Goldberg, J. (2003). Crystal structure of ARF1*Sec7 complexed with Brefeldin A and its implications for the guanine nucleotide exchange mechanism. Molecular Cell, 12(6), 1403–1411.",10.1016/s1097-2765(03)00475-1,,Crystal structure of ARF1*Sec7 complexed with Brefeldin A and its implications for the guanine nucleotide exchange mechanism.,Molecular Cell,Scientific Literature,14690595,2003,12,,12,6,1403,1411
8,"Kaae, B. H., Harpsøe, K., Kastrup, J. S., Sanz, A. C., Pickering, D. S., Metzler, B., Clausen, R. P., Gajhede, M., Sauerberg, P., Liljefors, T., & Madsen, U. (2007). Structural proof of a dimeric positive modulator bridging two identical AMPA receptor-binding sites. Chemistry & Biology, 14(11), 1294–1303.",10.1016/j.chembiol.2007.10.012,,Structural proof of a dimeric positive modulator bridging two identical AMPA receptor-binding sites.,Chemistry & Biology,Scientific Literature,18022568,2007,11,26,14,11,1294,1303
9,"Miyazono, K., Miyakawa, T., Sawano, Y., Kubota, K., Kang, H. J., Asano, A., Miyauchi, Y., Takahashi, M., Zhi, Y., Fujita, Y., et al. (2009). Structural basis of abscisic acid signalling. Nature, 462(7273), 609–614.",10.1038/nature08583,,Structural basis of abscisic acid signalling.,Nature,Scientific Literature,19855379,2009,12,3,462,7273,609,614
10,"Melcher, K., Ng, L. M., Zhou, X. E., Soon, F. F., Xu, Y., Suino-Powell, K. M., Park, S. Y., Weiner, J. J., Fujii, H., Chinnusamy, V., et al. (2009). A gate-latch-lock mechanism for hormone signalling by abscisic acid receptors. Nature, 462(7273), 602–608.",10.1038/nature08613,,A gate-latch-lock mechanism for hormone signalling by abscisic acid receptors.,Nature,Scientific Literature,19898420,2009,12,3,462,7273,602,608
