id,name,type,molecular_formula,description,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,logp,ring_count,rotatable_bond_count,topological_polar_surface_area,canonical_smiles,inchi,inchi_key,iupac_name,exact_mass_source,h_bond_acceptor_count_source,h_bond_donor_count_source,heavy_atom_count_source,logp_source,ring_count_source,rotatable_bond_count_source,topological_polar_surface_area_source,ref_id,pubchem_id,chembl_id,covalent_type
1,Rapamycin,heterodimerization-nondegrader,C51H79NO13,"Rapamycin is a macrolide compound that functions as a molecular glue by simultaneously binding FKBP12 and the FRB domain of mTOR (FRAP), forming a ternary complex. This interaction inhibits mTORC1 signaling, leading to immunosuppressive and antiproliferative effects. Structural studies reveal rapamycin's critical role in stabilizing the FKBP12-FRB interface, disrupting mTOR's kinase activity. Key findings highlight its utility as a chemical probe for mTOR pathway modulation and as a template for developing FKBP12-dependent molecular glues.",913.5551416,13,3,65,6.1806,4,6,195.43,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=C\C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)C)OC,"InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3/b13-11+,16-12+,31-17+,35-25+/t30-,32-,33-,34-,36-,37+,38+,39+,40-,42+,43+,44-,46-,47+,51-/m1/s1",QFJCIRLUMZQUOT-HPLJOQBZSA-N,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24Z,26E,28E,30S,32S,35R)-1,18-dihydroxy-12-[1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19,30-dimethoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,"1,2,3,4",5284616,CHEMBL413,non-covalent
2,C49-Methyl rapamycin,heterodimerization-nondegrader,C52H81NO13,"C49-Methyl rapamycin is a rapamycin derivative where the C49 position is methylated. Like rapamycin, it functions as a molecular glue by simultaneously binding FKBP12 and the FRB domain of FRAP, forming a ternary complex. This interaction inhibits FRAP's kinase activity, disrupting mTOR signaling pathways. The methyl modification at C49 may alter binding kinetics or stability but retains the core mechanism of inducing FKBP12-FRB proximity.",927.5707917,13,3,66,6.5707,4,7,195.43,CCO[C@H]\1C[C@@H]2CC[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H](CC(=O)[C@@H](/C=C(/[C@H]([C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C1\C)C)C)OC)O)\C)C)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)O)C,"InChI=1S/C52H81NO13/c1-11-64-43-29-39-22-20-37(8)52(61,66-39)49(58)50(59)53-24-16-15-19-40(53)51(60)65-44(34(5)27-38-21-23-41(54)45(28-38)62-9)30-42(55)33(4)26-36(7)47(57)48(63-10)46(56)35(6)25-31(2)17-13-12-14-18-32(43)3/h12-14,17-18,26,31,33-35,37-41,43-45,47-48,54,57,61H,11,15-16,19-25,27-30H2,1-10H3/b14-12+,17-13+,32-18+,36-26+/t31-,33-,34-,35-,37-,38+,39+,40+,41-,43+,44+,45-,47-,48+,52-/m1/s1",GPZGXSFHPLUMHE-JQEUAWNDSA-N,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30S,32S,35R)-30-ethoxy-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19-methoxy-15,17,21,23,29,35-hexamethyl-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,5,5289261,CHEMBL4287588,non-covalent
3,Brefeldin A,heterodimerization-nondegrader,C16H24O4,"Brefeldin A is a macrocyclic lactone fungal metabolite that acts as a potent inhibitor of Arf activation by selectively targeting the Sec7 domain of large ArfGEFs (BIG/GBF subfamilies). It stabilizes abortive Arf-GEF complexes, blocking GDP/GTP exchange and disrupting Golgi trafficking. Its molecular glue properties derive from simultaneous binding to Arf-GDP and the Sec7 domain, inducing a non-productive ternary complex. Key studies show it inhibits GBF1 and BIG1/2 with IC50 values in the low micromolar range, making it a critical tool for studying Arf-dependent vesicular transport.",280.1674592,4,2,20,1.9624,2,0,66.76,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,"InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m0/s1",KQNZDYYTLMIZCT-KQPMLPITSA-N,"(1R,2R,3E,7S,11E,13S,15S)-2,15-dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,"6,7",5287620,CHEMBL19980,non-covalent
4,"(R,R)-2a",homodimerization,C20H28N2O4S2,"(S,S)-2a is the enantiomer of (R,R)-2a, sharing identical dimeric arylpropylsulfonamide architecture but with inverted stereochemistry. While docking predicted symmetrical binding akin to (R,R)-2a, pharmacological evaluation revealed lower potency, emphasizing the stereospecific nature of interactions with the CTZ-binding sites. This underscores the importance of chiral matching for optimal receptor modulation.",424.1490494,4,2,28,2.659,2,9,92.34,C[C@@H](CNS(=O)(=O)C)C1=CC=C(C=C1)C2=CC=C(C=C2)[C@@H](C)CNS(=O)(=O)C,"InChI=1S/C20H28N2O4S2/c1-15(13-21-27(3,23)24)17-5-9-19(10-6-17)20-11-7-18(8-12-20)16(2)14-22-28(4,25)26/h5-12,15-16,21-22H,13-14H2,1-4H3/t15-,16-/m0/s1",ZESUARCHWPARIF-HOTGVXAUSA-N,N-[(2R)-2-[4-[4-[(2R)-1-(methanesulfonamido)propan-2-yl]phenyl]phenyl]propyl]methanesulfonamide,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,8,22489160,,non-covalent
5,C15-(R)-Methylthienyl rapamycin,heterodimerization-nondegrader,C55H81NO12S,"C15-(R)-Methylthienyl rapamycin features a thienyl group with (R)-methyl substitution at C15. It maintains rapamycin's molecular glue properties, bridging FKBP12 and FRB to inhibit mTOR signaling. The (R)-methylthienyl moiety may enhance hydrophobic interactions or modulate conformational flexibility, potentially influencing ternary complex formation efficiency. Structural studies suggest such modifications preserve the critical FKBP12- and FRB-binding interfaces while fine-tuning pharmacological properties.",979.547948,13,3,69,8.31932,5,6,186.2,C[C@@H]1CC[C@H]2C[C@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)C5=CC=C(S5)C,"InChI=1S/C55H81NO12S/c1-32-16-12-11-13-17-33(2)42(48-24-20-39(8)69-48)30-41-22-19-38(7)55(64,68-41)52(61)53(62)56-25-15-14-18-43(56)54(63)67-46(35(4)28-40-21-23-44(57)47(29-40)65-9)31-45(58)34(3)27-37(6)50(60)51(66-10)49(59)36(5)26-32/h11-13,16-17,20,24,27,32,34-36,38,40-44,46-47,50-51,57,60,64H,14-15,18-19,21-23,25-26,28-31H2,1-10H3/b13-11+,16-12+,33-17+,37-27+/t32-,34-,35-,36-,38-,40+,41+,42-,43+,44-,46+,47-,50-,51+,55-/m1/s1",SDSGJAIFUCCAOV-MSLSVLDMSA-N,"(1R,9S,12S,15R,16E,18R,19R,21R,23S,24E,26E,28E,30R,32S,35R)-1,18-dihydroxy-12-[(2R)-1-[(1S,3R,4R)-4-hydroxy-3-methoxycyclohexyl]propan-2-yl]-19-methoxy-15,17,21,23,29,35-hexamethyl-30-(5-methylthiophen-2-yl)-11,36-dioxa-4-azatricyclo[30.3.1.04,9]hexatriaconta-16,24,26,28-tetraene-2,3,10,14,20-pentone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,5,6323222,CHEMBL263850,non-covalent
6,Abscisic Acid,heterodimerization-nondegrader,C15H20O4,"Abscisic acid (ABA) is a phytohormone that regulates plant growth, stress responses, and developmental processes such as seed dormancy and stomatal closure. It binds to PYL3/RCAR13 receptors, promoting the formation of monomeric PYL3 and enhancing PP2C inhibition efficiency. Structural studies reveal ABA-bound PYL3 forms trans-homodimers, distinct from other PYL family members, suggesting a unique regulatory mechanism. ABA's preferential localization in seed chalazal regions correlates with PYL3's high expression during seed development.",264.1361591,3,2,19,2.2499,1,3,74.6,CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1",JLIDBLDQVAYHNE-YKALOCIXSA-N,"(2Z,4E)-5-[(1S)-1-hydroxy-2,6,6-trimethyl-4-oxocyclohex-2-en-1-yl]-3-methylpenta-2,4-dienoic acid",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,"9,10,11,12,13,14,15,16,17,18,19,20",5280896,CHEMBL288040,non-covalent
7,Ifenprodil,heterodimerization-nondegrader,C21H27NO2,"Ifenprodil is a phenylethanolamine compound that allosterically inhibits GluN1/GluN2B NMDA receptors by binding at the heterodimer interface of their amino-terminal domains (ATDs). It exhibits neuroprotective activity with a dissociation constant (Kd) of 320 nM. Structural studies reveal that ifenprodil stabilizes the GluN1b-GluN2B ATD heterodimer, restricting conformational freedom in the GluN2B ATD essential for channel inhibition. Its binding site involves residues from both GluN1b R1 and GluN2B R1/R2 domains, distinct from zinc-binding sites.",325.2041791,3,2,24,3.7688,3,5,43.7,C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,"InChI=1S/C21H27NO2/c1-16(21(24)19-7-9-20(23)10-8-19)22-13-11-18(12-14-22)15-17-5-3-2-4-6-17/h2-10,16,18,21,23-24H,11-15H2,1H3/t16-,21-/m0/s1",UYNVMODNBIQBMV-KKSFZXQISA-N,"4-[(1R,2S)-2-(4-benzylpiperidin-1-yl)-1-hydroxypropyl]phenol",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,21,6604117,CHEMBL49623,non-covalent
8,FK506,heterodimerization-nondegrader,C44H69NO12,"FK506 (tacrolimus) is a macrolide immunosuppressant that forms a binary complex with FKBP12, which then binds calcineurin to inhibit its phosphatase activity. The FKBP12-FK506 complex sterically blocks substrate access to calcineurin's active site without direct interaction with the catalytic center. This inhibition disrupts T-cell activation by preventing NF-AT dephosphorylation, thereby suppressing IL-2 production. The X-ray structure reveals FK506's role as a molecular glue, bridging FKBP12 and calcineurin via a composite interface distinct from the phosphatase active site.",803.4819766,12,3,57,4.639,4,7,178.36,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,"InChI=1S/C44H69NO12/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3/b25-19+,27-21+/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+/m0/s1",QJJXYPPXXYFBGM-LFZNUXCKSA-N,"(1R,9S,12S,13R,14S,17R,18E,21S,23S,24R,25S,27R)-1,14-dihydroxy-12-[(E)-1-[(1R,3R,4R)-4-hydroxy-3-methoxycyclohexyl]prop-1-en-2-yl]-23,25-dimethoxy-13,19,21,27-tetramethyl-17-prop-2-enyl-11,28-dioxa-4-azatricyclo[22.3.1.04,9]octacos-18-ene-2,3,10,16-tetrone",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,"22,23,24",445643,CHEMBL269732,non-covalent
9,Tafamidis,homodimerization,C14H7Cl2NO3,"Tafamidis is a selective transthyretin (TTR) kinetic stabilizer that binds with negative cooperativity to the two thyroxine-binding sites of the TTR tetramer (Kds ∼2 nM and ∼200 nM). It inhibits amyloidogenesis by stabilizing the weaker dimer-dimer interface, preventing tetramer dissociation—the rate-limiting step in TTR fibril formation. Demonstrated efficacy in Phase II/III trials for TTR-FAP, tafamidis dose-dependently stabilizes both wild-type and mutant TTR (V30M, V122I) with EC50 values of 2.7–3.2 μM. Crystal structures confirm its binding mode and kinetic stabilization mechanism.",306.9802984,3,1,20,4.4998,3,2,63.33,C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl,"InChI=1S/C14H7Cl2NO3/c15-9-3-8(4-10(16)6-9)13-17-11-2-1-7(14(18)19)5-12(11)20-13/h1-6H,(H,18,19)",TXEIIPDJKFWEEC-UHFFFAOYSA-N,"2-(3,5-dichlorophenyl)-1,3-benzoxazole-6-carboxylic acid",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,25,11001318,CHEMBL2103837,non-covalent
10,RO-2443,homodimerization,C20H14ClF2N3O2,"RO-2443 is an indolyl hydantoin compound that acts as a dual MDM2/MDMX antagonist by inducing protein dimerization. It binds the p53-binding pockets of both proteins with similar potency (MDM2 IC50 = 33 nM, MDMX IC50 = 41 nM). Structural studies show it occupies two subpockets (Phe and Trp) while inducing MDMX dimer formation (24.1 kDa complex). The binding is entropy-driven (Kd = 78 nM by ITC) and effectively stabilizes p53, activating apoptosis in MDMX-overexpressing cancer cells.",401.0742608,2,2,28,4.50082,4,3,65.2,CC1=C(C=CC2=C1NC=C2/C=C\3/C(=O)N(C(=O)N3)CC4=CC(=C(C=C4)F)F)Cl,"InChI=1S/C20H14ClF2N3O2/c1-10-14(21)4-3-13-12(8-24-18(10)13)7-17-19(27)26(20(28)25-17)9-11-2-5-15(22)16(23)6-11/h2-8,24H,9H2,1H3,(H,25,28)/b17-7-",OEXMEVPQEPHTAQ-IDUWFGFVSA-N,"(5Z)-5-[(6-chloro-7-methyl-1H-indol-3-yl)methylidene]-3-[(3,4-difluorophenyl)methyl]imidazolidine-2,4-dione",Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,Computed by RDKit,26,72200647,CHEMBL5267044,non-covalent
