original_smiles,canonical_smiles,canonical_smiles_no_stereo,inchi_key,inchi_key_no_stereo,stereo_present,chiral_centers_count,parse_ok,parse_error,source_dataset,source_id,source_name
O=C(OC)C1=CC(OCCOCCOCCNC(=O)C2=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C2)=C(OCCOCCOCCNC(=O)C3=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C3)C(OCCOCCOCCNC(=O)C4=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C4)=C1,COC(=O)c1cc(OCCOCCOCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c2)c(OCCOCCOCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c2)c(OCCOCCOCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c2)c1,COC(=O)c1cc(OCCOCCOCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c2)c(OCCOCCOCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c2)c(OCCOCCOCCNC(=O)c2cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c2)c1,RXOHWAGCMAAMOL-UHFFFAOYSA-N,RXOHWAGCMAAMOL-UHFFFAOYSA-N,False,0,True,,mgdb,MG-1,G1(Gu+)9OMe
O=C([O-])C=1C=C(C=CC1C=2C=3C=CC(=CC3[O+]=C4C=C(C=CC42)N(C)C)N(C)C)N5C(=O)CC(SCCNC(=O)C6=CC(OCCOCCOCCNC(=O)C7=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C7)=C(OCCOCCOCCNC(=O)C8=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C8)C(OCCOCCOCCNC(=O)C9=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C9)=C6)C5=O,CN(C)c1ccc2c(-c3ccc(-n4c(O)cc(SCCNC(=O)c5cc(OCCOCCOCCNC(=O)c6cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCNC(=N)N)c6)c(OCCOCCOCCNC(=O)c6cc(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c6)c(OCCOCCOCCNC(=O)c6cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c6)c5)c4O)cc3C(=O)[O-])c3ccc(N(C)C)cc3[o+]c2c1,CN(C)c1ccc2c(-c3ccc(-n4c(O)cc(SCCNC(=O)c5cc(OCCOCCOCCNC(=O)c6cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCNC(=N)N)c6)c(OCCOCCOCCNC(=O)c6cc(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c6)c(OCCOCCOCCNC(=O)c6cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCNC(=N)N)c(OCCOCCOCCNC(=N)N)c6)c5)c4O)cc3C(=O)[O-])c3ccc(N(C)C)cc3[o+]c2c1,USQIKCGAROOWJX-UHFFFAOYSA-N,USQIKCGAROOWJX-UHFFFAOYSA-N,False,0,True,,mgdb,MG-2,G1(Gu+)9Rhd
O=C(OC)C1=CC(OCCOCCOCCNC(=N)N)=C(OCCOCCOCCNC(=N)N)C(OCCOCCOCCNC(=N)N)=C1,COC(=O)c1cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c1,COC(=O)c1cc(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c(OCCOCCOCCN=C(N)N)c1,XCMWOGAPWBJMSB-UHFFFAOYSA-N,XCMWOGAPWBJMSB-UHFFFAOYSA-N,False,0,True,,mgdb,MG-3,G0(Gu+)3OMe
O=C(O)COC1=CC=C(Cl)C=C1Cl,O=C(O)COc1ccc(Cl)cc1Cl,O=C(O)COc1ccc(Cl)cc1Cl,OVSKIKFHRZPJSS-UHFFFAOYSA-N,OVSKIKFHRZPJSS-UHFFFAOYSA-N,False,0,True,,mgdb,MG-4,"2,4-dichlorophenoxyacetic acid (2,4-D)"
O=C(O)CC1=CC=CC=2C=CC=CC21,O=C(O)Cc1cccc2ccccc12,O=C(O)Cc1cccc2ccccc12,PRPINYUDVPFIRX-UHFFFAOYSA-N,PRPINYUDVPFIRX-UHFFFAOYSA-N,False,0,True,,mgdb,MG-5,1-naphthalene acetic acid (1-NAA)
COC1=C(C=CC(=C1C(=O)O)Cl)Cl,COc1c(Cl)ccc(Cl)c1C(=O)O,COc1c(Cl)ccc(Cl)c1C(=O)O,IWEDIXLBFLAXBO-UHFFFAOYSA-N,IWEDIXLBFLAXBO-UHFFFAOYSA-N,False,0,True,,mgdb,MG-6,"2-methoxy-3,6-dichlorobenzoic acid (dicamba)"
C1(=C(C(=NC(=C1Cl)Cl)C(=O)O)Cl)N,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,NQQVFXUMIDALNH-UHFFFAOYSA-N,NQQVFXUMIDALNH-UHFFFAOYSA-N,False,0,True,,mgdb,MG-7,"4-amino-3,5,6-trichloropicolinic acid (tordon or picloram)"
CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,TXCGAZHTZHNUAI-UHFFFAOYSA-N,TXCGAZHTZHNUAI-UHFFFAOYSA-N,False,0,True,,mgdb,MG-8,"isobutyric acid (PCIB, an antiauxin)"
C1=CC=C(C=C1)C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O)O,O=C(O)C1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,O=C(O)C1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)C(O)C(O)C1O,IKIIZLYTISPENI-FBYGNRARSA-N,IKIIZLYTISPENI-UHFFFAOYSA-N,True,5,True,,mgdb,MG-9,Baicalin
C1=CC(=CC(=C1)NC(=O)C2=CC=C(NC2=O)C(F)(F)F)C3=CC=NN3,O=C(Nc1cccc(-c2cc[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,O=C(Nc1cccc(-c2cc[nH]n2)c1)c1ccc(C(F)(F)F)[nH]c1=O,KRFAUNDDLPKBNF-UHFFFAOYSA-N,KRFAUNDDLPKBNF-UHFFFAOYSA-N,False,0,True,,mgdb,MG-10,NRX-1532
