compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets
UVSMNLNDYGZFPF-UHFFFAOYSA-N,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,undefined,mgdb,MG-343,MG-343,,,Q13422,IKZF1,unknown,3,cellular_phenotype,nan,False,,True,False,False,,,,split_from_multi_target_string,True
OVCPBHUAYOCKFK-GTYDATPSSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6375,MG-6375,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
SZYSYIKHKFWTAU-IPVIFZNSSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(C4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(C4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6376,MG-6376,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
RPLHVTBVRVOWAG-OMUWIBBISA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)Cc3ccc(CN4CCC(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCC(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6377,MG-6377,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
IIXSHSRPAOSNEU-FHHUFSQRSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)C3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)C3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6378,MG-6378,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
KAXDZRYBTFDIRW-PTJHPHGDSA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3F)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3F)n[nH]2)C1,defined,mgdb,MG-6368,MG-6368,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
HJKKOLUJQSYJKW-FIBWSSNZSA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC(F)(F)C4)cc3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CCN(CC5CCN(c6ccc7c(c6)C(=O)N(C6CCC(=O)NC6=O)C7=O)CC5)CC(F)(F)C4)cc3)n[nH]2)C1,defined,mgdb,MG-6369,MG-6369,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
CIZIVTNTSBMJKU-IPVIFZNSSA-N,CC(C)NC(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)CC3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)CC3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6380,MG-6380,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 RBM39 ternary complex formation assay,False,,True,False,False,,,,nan,False
IIXSHSRPAOSNEU-IAQDXTAKSA-N,CC(C)NC(=O)O[C@@H]1CC[C@@H](c2cc(NC(=O)C3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)C3CCN(CC4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6381,MG-6381,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
ORHBGOCSEMXKAU-KZKSFLRFSA-N,CC(C)NC(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)CC3CCC(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,CC(C)NC(=O)OC1CCC(c2cc(NC(=O)CC3CCC(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)CC3)n[nH]2)C1,defined,mgdb,MG-6382,MG-6382,,,Q66K64,DCAF15,unknown,3,cellular_phenotype,DCAF15 displacement assay,False,,True,False,False,,,,nan,False
