source_id,source_name,original_smiles,canonical_smiles,canonical_isomeric_smiles,inchi,inchi_key,stereo_status,mol_weight,tautomer_mode,canonicalized_ok,failure_reason
1,Rapamycin,C[C@@H]1CC[C@H]2C[C@@H](C(=CC=C\C=C\[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)C)OC,COC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=CC=C1C,"InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3/b13-11?,16-12+,31-17?,35-25+/t30-,32-,33-,34-,36-,37+,38+,39+,40-,42+,43+,44-,46-,47+,51-/m1/s1",QFJCIRLUMZQUOT-LAOSHSCVSA-N,defined,913.5551,False,True,
2,C49-Methyl rapamycin,CCO[C@H]\1C[C@@H]2CC[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H](CC(=O)[C@@H](/C=C(/[C@H]([C@H](C(=O)[C@@H](C[C@@H](/C=C/C=C/C=C1\C)C)C)OC)O)\C)C)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)O)C,CCOC1CC2CCC(C)C(O)(O2)C(=O)C(=O)N2CCCCC2C(=O)OC(C(C)CC2CCC(O)C(OC)C2)CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C1C,CCO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,"InChI=1S/C52H81NO13/c1-11-64-43-29-39-22-20-37(8)52(61,66-39)49(58)50(59)53-24-16-15-19-40(53)51(60)65-44(34(5)27-38-21-23-41(54)45(28-38)62-9)30-42(55)33(4)26-36(7)47(57)48(63-10)46(56)35(6)25-31(2)17-13-12-14-18-32(43)3/h12-14,17-18,26,31,33-35,37-41,43-45,47-48,54,57,61H,11,15-16,19-25,27-30H2,1-10H3/b14-12+,17-13+,32-18+,36-26+/t31-,33-,34-,35-,37-,38+,39+,40+,41-,43+,44+,45-,47-,48+,52-/m1/s1",GPZGXSFHPLUMHE-JQEUAWNDSA-N,defined,927.5708,False,True,
3,Brefeldin A,C[C@H]1CCC/C=C/[C@@H]2C[C@@H](C[C@H]2[C@@H](/C=C/C(=O)O1)O)O,CC1CCCC=CC2CC(O)CC2C(O)C=CC(=O)O1,C[C@H]1CCC/C=C/[C@@H]2C[C@H](O)C[C@H]2[C@H](O)/C=C/C(=O)O1,"InChI=1S/C16H24O4/c1-11-5-3-2-4-6-12-9-13(17)10-14(12)15(18)7-8-16(19)20-11/h4,6-8,11-15,17-18H,2-3,5,9-10H2,1H3/b6-4+,8-7+/t11-,12+,13-,14+,15+/m0/s1",KQNZDYYTLMIZCT-KQPMLPITSA-N,defined,280.1675,False,True,
4,"(R,R)-2a",C[C@@H](CNS(=O)(=O)C)C1=CC=C(C=C1)C2=CC=C(C=C2)[C@@H](C)CNS(=O)(=O)C,CC(CNS(C)(=O)=O)c1ccc(-c2ccc(C(C)CNS(C)(=O)=O)cc2)cc1,C[C@@H](CNS(C)(=O)=O)c1ccc(-c2ccc([C@@H](C)CNS(C)(=O)=O)cc2)cc1,"InChI=1S/C20H28N2O4S2/c1-15(13-21-27(3,23)24)17-5-9-19(10-6-17)20-11-7-18(8-12-20)16(2)14-22-28(4,25)26/h5-12,15-16,21-22H,13-14H2,1-4H3/t15-,16-/m0/s1",ZESUARCHWPARIF-HOTGVXAUSA-N,defined,424.149,False,True,
5,C15-(R)-Methylthienyl rapamycin,C[C@@H]1CC[C@H]2C[C@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)C5=CC=C(S5)C,COC1CC(CC(C)C2CC(=O)C(C)C=C(C)C(O)C(OC)C(=O)C(C)CC(C)C=CC=CC=C(C)C(c3ccc(C)s3)CC3CCC(C)C(O)(O3)C(=O)C(=O)N3CCCCC3C(=O)O2)CCC1O,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C(\C)[C@H](c3ccc(C)s3)C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@H]3C(=O)O2)CC[C@H]1O,"InChI=1S/C55H81NO12S/c1-32-16-12-11-13-17-33(2)42(48-24-20-39(8)69-48)30-41-22-19-38(7)55(64,68-41)52(61)53(62)56-25-15-14-18-43(56)54(63)67-46(35(4)28-40-21-23-44(57)47(29-40)65-9)31-45(58)34(3)27-37(6)50(60)51(66-10)49(59)36(5)26-32/h11-13,16-17,20,24,27,32,34-36,38,40-44,46-47,50-51,57,60,64H,14-15,18-19,21-23,25-26,28-31H2,1-10H3/b13-11+,16-12+,33-17+,37-27+/t32-,34-,35-,36-,38-,40+,41+,42-,43+,44-,46+,47-,50-,51+,55-/m1/s1",SDSGJAIFUCCAOV-MSLSVLDMSA-N,defined,979.5479,False,True,
6,Abscisic Acid,CC1=CC(=O)CC([C@]1(/C=C/C(=C\C(=O)O)/C)O)(C)C,CC(C=CC1(O)C(C)=CC(=O)CC1(C)C)=CC(=O)O,CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/C(C)=C\C(=O)O,"InChI=1S/C15H20O4/c1-10(7-13(17)18)5-6-15(19)11(2)8-12(16)9-14(15,3)4/h5-8,19H,9H2,1-4H3,(H,17,18)/b6-5+,10-7-/t15-/m1/s1",JLIDBLDQVAYHNE-YKALOCIXSA-N,defined,264.1362,False,True,
7,Ifenprodil,C[C@@H]([C@@H](C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,C[C@@H]([C@H](O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,"InChI=1S/C21H27NO2/c1-16(21(24)19-7-9-20(23)10-8-19)22-13-11-18(12-14-22)15-17-5-3-2-4-6-17/h2-10,16,18,21,23-24H,11-15H2,1H3/t16-,21-/m0/s1",UYNVMODNBIQBMV-KKSFZXQISA-N,defined,325.2042,False,True,
8,FK506,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC,C=CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(O)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,"InChI=1S/C44H69NO12/c1-10-13-31-19-25(2)18-26(3)20-37(54-8)40-38(55-9)22-28(5)44(52,57-40)41(49)42(50)45-17-12-11-14-32(45)43(51)56-39(29(6)34(47)24-35(31)48)27(4)21-30-15-16-33(46)36(23-30)53-7/h10,19,21,26,28-34,36-40,46-47,52H,1,11-18,20,22-24H2,2-9H3/b25-19+,27-21+/t26-,28+,29+,30-,31+,32-,33+,34-,36+,37-,38-,39+,40+,44+/m0/s1",QJJXYPPXXYFBGM-LFZNUXCKSA-N,defined,803.482,False,True,
9,Tafamidis,C1=CC2=C(C=C1C(=O)O)OC(=N2)C3=CC(=CC(=C3)Cl)Cl,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,O=C(O)c1ccc2nc(-c3cc(Cl)cc(Cl)c3)oc2c1,"InChI=1S/C14H7Cl2NO3/c15-9-3-8(4-10(16)6-9)13-17-11-2-1-7(14(18)19)5-12(11)20-13/h1-6H,(H,18,19)",TXEIIPDJKFWEEC-UHFFFAOYSA-N,none,306.9803,False,True,
10,RO-2443,CC1=C(C=CC2=C1NC=C2/C=C\3/C(=O)N(C(=O)N3)CC4=CC(=C(C=C4)F)F)Cl,Cc1c(Cl)ccc2c(C=C3NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12,Cc1c(Cl)ccc2c(/C=C3\NC(=O)N(Cc4ccc(F)c(F)c4)C3=O)c[nH]c12,"InChI=1S/C20H14ClF2N3O2/c1-10-14(21)4-3-13-12(8-24-18(10)13)7-17-19(27)26(20(28)25-17)9-11-2-5-15(22)16(23)6-11/h2-8,24H,9H2,1H3,(H,25,28)/b17-7-",OEXMEVPQEPHTAQ-IDUWFGFVSA-N,defined,401.0743,False,True,
