ligand_canonical_id,canonical_smiles,e3_uniprot,neo_uniprot,neo_gene_symbol,moa_type,endpoint_tier,endpoint_category,source_dataset,has_pdb_structure,mutation,is_family_level,label_positive,regime
NHSPFLGVHFXRJZ-UHFFFAOYSA-N,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CCCOc5ccc(CN6CCC(c7ccc8c(c7)CN(C7CCC(=O)NC7=O)C8=O)CC6)cc5)CC4)cn3)nc2n(C2CCCC2)c1=O,,Q00534,CDK6,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
NHSPFLGVHFXRJZ-UHFFFAOYSA-N,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CCCOc5ccc(CN6CCC(c7ccc8c(c7)CN(C7CCC(=O)NC7=O)C8=O)CC6)cc5)CC4)cn3)nc2n(C2CCCC2)c1=O,,P11802,CDK4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
XPSUQTPVKZGAOE-JGHIERLTSA-N,CC(=O)OC[C@]12CC=C3[C@H](C[C@H]4O[C@]45C=CCC(=O)[C@]35C)[C@]1(O)CC[C@@]2(O)[C@@](C)(O)[C@@H]1CC(C)=C(C)C(=O)O1,,,BRD3-BD1，BRD4-BD1,unknown,1,degradation_evidence,mgdb,False,,False,1,pu_primary
MJACTWDJXKRKAV-UHFFFAOYSA-N,NCCSc1nc(NCc2ccc(-n3cccn3)cc2)c2[nH]nc(C3CCC3)c2n1,,,nan,unknown,1,degradation_evidence,mgdb,False,,False,1,pu_primary
PMSPBUOYDPYDPF-FQEVSTJZSA-N,Cc1sc2c(c1C)C(c1ccc(C#CCN)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,,O60885,BRD4,unknown,1,degradation_evidence,both,False,nan,False,1,pu_primary
PMSPBUOYDPYDPF-FQEVSTJZSA-N,Cc1sc2c(c1C)C(c1ccc(C#CCN)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,,P25440,BRD2,unknown,1,degradation_evidence,both,False,nan,False,1,pu_primary
ULPTVFKKKIPUCY-OWJIYDKWSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cc6ccccc6cn5)C4)ccc3C2=O)C(=O)N1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
PWQDDQFHBHYPCI-AJZOCDQUSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6ncncc6c5)C4)ccc3C2=O)C(=O)N1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
ODTYWYBWWFMRFY-XNUZUHMRSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cnc6ccc(F)c(F)c6c5)C4)ccc3C2=O)C(=O)N1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
YKYORMGPEHVAHL-XADRRFQNSA-N,Cc1cnc2ccc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)cc2c1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
AZTPPEMGXDIBGB-AJZOCDQUSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5ccc6[nH]c(=O)ccc6c5)C4)ccc3C2=O)C(=O)N1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
BUFRLZNQVKOGFO-XEGCMXMBSA-N,COc1nc2ccccc2cc1CN1CC[C@H](Oc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
FJBKCCGNRQPYJQ-XADRRFQNSA-N,Cc1nc2ccccc2cc1CN1CC[C@H](Oc2ccc3c(c2)CN(C2CCC(=O)NC2=O)C3=O)C1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
YXAOLOYZNFHVDI-AIBWNMTMSA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cnc6ncccc6c5)C4)ccc3C2=O)C(=O)N1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
ALBJZCSESWBPAM-XGLRFROISA-N,O=C1CCC(N2Cc3cc(O[C@H]4CCN(Cc5cnc6cccc(F)c6c5)C4)ccc3C2=O)C(=O)N1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
ZJXHDAWOQACSES-XADRRFQNSA-N,Cc1ccc2cc(CN3CC[C@H](Oc4ccc5c(c4)CN(C4CCC(=O)NC4=O)C5=O)C3)ccc2n1,,,WEEl,unknown,1,degradation_evidence,both,False,,False,1,pu_primary
