canonical_smiles,canonical_smiles_no_stereo,inchi_key,inchi_key_no_stereo,original_smiles,stereo_present,chiral_centers_count,source_dataset,source_record_id,ligand_id_original,e3_uniprot,e3_gene_symbol,neo_uniprot,neo_gene_symbol,moa_type,pdb_id,has_pdb_structure,dc50,dmax,endpoint_tier,endpoint_category,mutation,complex_component_flag,is_family_level,mapping_assumption_flag,protein_a_mutation,protein_b_mutation,source_in_both
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5ccc(N(C)C)cc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5ccc(N(C)C)cc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,RYIPYLGUGJOTRY-UHFFFAOYSA-N,RYIPYLGUGJOTRY-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=CC=C(C=N4)N5CCN(CC5)CC(=O)NCCOCCOCCC(=O)NC6=C(C=C(C=C6)N(C)C)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6779,MG-6779,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CCCCNc1ccc(NC(=O)CCOCCOCCNC(=O)CN2CCN(c3ccc(Nc4ncc5c(C)c(C(C)=O)c(=O)n(C6CCCC6)c5n4)nc3)CC2)c(C(=O)Nc2nc(C)c(C)s2)c1,CCCCNc1ccc(NC(=O)CCOCCOCCNC(=O)CN2CCN(c3ccc(Nc4ncc5c(C)c(C(C)=O)c(=O)n(C6CCCC6)c5n4)nc3)CC2)c(C(=O)Nc2nc(C)c(C)s2)c1,AAQOJERSEMYBDW-UHFFFAOYSA-N,AAQOJERSEMYBDW-UHFFFAOYSA-N,CCCCNC1=CC(=C(C=C1)NC(=O)CCOCCOCCNC(=O)CN2CCN(CC2)C3=CN=C(C=C3)NC4=NC5=C(C=N4)C(=C(C(=O)C)C(=O)N5C6CCCC6)C)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6778,MG-6778,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,CCC(CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1,HOCBJBNQIQQQGT-LJQANCHMSA-N,HOCBJBNQIQQQGT-UHFFFAOYSA-N,CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=C(C=C3)C4=CC=CC=N4.Cl,True,1.0,both,MG-242,MG-242,,,,DDB1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,True
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5cc(N(C)C)ccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5cc(N(C)C)ccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,LIKBJGZTNUUECA-UHFFFAOYSA-N,LIKBJGZTNUUECA-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=CC=C(C=N4)N5CCN(CC5)CC(=O)NCCOCCOCCC(=O)NC6=C(C=CC(=C6)N(C)C)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6783,MG-6783,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5ccccc5CNc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5ccccc5CNc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,IBDGFOGESMOMJV-UHFFFAOYSA-N,IBDGFOGESMOMJV-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=NC=C(C=C4)N5CCN(CC5)CC(=O)NCCOCCOCCC(=O)NC6=C(C=CC=C6)CNC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6782,MG-6782,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCC(=O)Nc5ccccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCC(=O)Nc5ccccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,WTQORLDZGIXBMW-UHFFFAOYSA-N,WTQORLDZGIXBMW-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=CC=C(C=N4)N5CCN(CC5)C(=O)CCC(=O)NC6=C(C=CC=C6)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6781,MG-6781,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5ccc(F)cc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(CC(=O)NCCOCCOCCC(=O)Nc5ccc(F)cc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,DLMDUPLFVZOJQE-UHFFFAOYSA-N,DLMDUPLFVZOJQE-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=CC=C(C=N4)N5CCN(CC5)CC(=O)NCCOCCOCCC(=O)NC6=C(C=C(C=C6)F)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6780,MG-6780,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCCCCCCC(=O)Nc5ccccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCCCCCCC(=O)Nc5ccccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,RWYFMKFZYJIYAF-UHFFFAOYSA-N,RWYFMKFZYJIYAF-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=CC=C(C=N4)N5CCN(CC5)C(=O)CCCCCCCC(=O)NC6=C(C=CC=C6)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6788,MG-6788,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
CC(=O)OC[C@]12CC=C3[C@H](C[C@H]4O[C@]45C=CCC(=O)[C@]35C)[C@]1(O)CC[C@@]2(O)[C@@](C)(O)[C@@H]1CC(C)=C(C)C(=O)O1,CC(=O)OCC12CC=C3C(CC4OC45C=CCC(=O)C35C)C1(O)CCC2(O)C(C)(O)C1CC(C)=C(C)C(=O)O1,XPSUQTPVKZGAOE-JGHIERLTSA-N,XPSUQTPVKZGAOE-UHFFFAOYSA-N,CC1=C(C(=O)O[C@@H](C1)[C@@](C)([C@@]2(CC[C@@]3([C@@]2(CC=C4[C@@H]3C[C@@H]5[C@]6([C@@]4(C(=O)C=CC6)C)O5)COC(=O)C)O)O)O)C,True,9.0,mgdb,MG-294,MG-294,,,P25440,BRD2,unknown,,False,,,3,cellular_phenotype,nan,False,False,nan,,,False
CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCCC(=O)Nc5ccccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,CC(=O)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)CCCC(=O)Nc5ccccc5C(=O)Nc5nc(C)c(C)s5)CC4)cn3)nc2n(C2CCCC2)c1=O,VHPJCOMXKSXESF-UHFFFAOYSA-N,VHPJCOMXKSXESF-UHFFFAOYSA-N,CC1=C(C(=O)C)C(=O)N(C2CCCC2)C3=C1C=NC(=N3)NC4=CC=C(C=N4)N5CCN(CC5)C(=O)CCCC(=O)NC6=C(C=CC=C6)C(=O)NC7=NC(=C(C)S7)C,False,0.0,mgdb,MG-6787,MG-6787,,,,Cyclin D1,unknown,,False,,,3,cellular_phenotype,,False,False,,,,False
