compound_inchi_key,canonical_isomeric_smiles,canonical_smiles,stereo_status,source_dataset,source_record_id,ligand_source_id,e3_uniprot,e3_gene_symbol,target_uniprot,target_gene_symbol,moa_type,endpoint_tier,endpoint_category,assay_type,mutation_flag,mutation_detail,diagnostic_only,is_family_level,has_pdb_structure,pdb_id,dc50,dmax,mapping_assumption_flag,in_both_datasets,source_group,split
DCMZYWJLONGHSB-YYAQCFAISA-N,C[C@@H]1CCN1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)c3ccc(C4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC1CCN1C(=O)OC1CCC(c2cc(NC(=O)c3ccc(C4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6321,MG-6321,,,Q96SW2,CRBN,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
BMKFGKYNBBKGAA-OVUTVDGPSA-N,O=C1CCC(N2C(=O)c3ccc(N4CCN(Cc5ccc(CC(=O)Nc6cc([C@@H]7CC[C@@H](OC(=O)N8CCC(F)(F)C8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(N4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(OC(=O)N8CCC(F)(F)C8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,defined,mgdb,MG-6318,MG-6318,,,Q96SW2,CRBN,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
CPYZNHYHZMGKRH-YNZWGJHSSA-N,C[C@@H]1CCN1C(=O)O[C@H]1CC[C@@H](c2cc(NC(=O)c3ccc(N4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC1CCN1C(=O)OC1CCC(c2cc(NC(=O)c3ccc(N4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6316,MG-6316,,,Q96SW2,CRBN,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
BHWMVKAIKNTYEG-LSZZVAKTSA-N,C[C@H]1CCN1C(=O)O[C@@H]1CC[C@@H](c2cc(NC(=O)Cc3ccc(C(=O)N4CCN(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC1CCN1C(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(C(=O)N4CCN(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6278,MG-6278,,,Q96SW2,CRBN,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
UVSMNLNDYGZFPF-UHFFFAOYSA-N,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,undefined,mgdb,MG-343,MG-343,,,Q13422,IKZF1,unknown,1,degradation_evidence,,False,,False,False,False,,,,split_from_multi_target_string,True,doi:10.1186/s13045-024-01592-z,train
GMIIQIQDIYOFKS-IPVIFZNSSA-N,O=C1CCC(N2C(=O)c3ccc(N4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8cccnn8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(N4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8cccnn8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,defined,mgdb,MG-6440,MG-6440,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
CJPDUNDZEHRGBF-BWEVJDBESA-N,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8ccc(Cl)nn8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8ccc(Cl)nn8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,defined,mgdb,MG-6439,MG-6439,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
LWISLKSTTWFXNN-CAQVDAKESA-N,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8ccccc8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8ccccc8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,defined,mgdb,MG-6438,MG-6438,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
VUFTXYYTSOLNNA-GCOHBOPDSA-N,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8cccnn8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8cccnn8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,defined,mgdb,MG-6437,MG-6437,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
CKYNNFFNDHMFAY-NNDQCJLMSA-N,O=C1CCC(N2C(=O)c3ccc(N4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8ccccc8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(N4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8ccccc8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,defined,mgdb,MG-6436,MG-6436,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
SCYLTNQEHANUCR-BFFVTFPMSA-N,O=C1CCC(N2C(=O)c3ccc(C4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8ccccc8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(C4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8ccccc8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,defined,mgdb,MG-6435,MG-6435,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
VGEAFQDVQQSCDA-BGYOSNHISA-N,CC(C)c1cccnc1O[C@@H]1CC[C@H](c2cc(NC(=O)CC3=CCC(CN4CCC(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)[nH]n2)C1,CC(C)c1cccnc1OC1CCC(c2cc(NC(=O)CC3=CCC(CN4CCC(c5ccc6c(c5)CN(C5CCC(=O)NC5=O)C6=O)CC4)C=C3)[nH]n2)C1,defined,mgdb,MG-6434,MG-6434,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
GVXTXIKNHLMFPC-VIHOQOLSSA-N,O=C1CCC(N2C(=O)c3ccc(C4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8ccc(Cl)nn8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,O=C1CCC(N2C(=O)c3ccc(C4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8ccc(Cl)nn8)C7)n[nH]6)cc5)CC4)cc3C2=O)C(=O)N1,defined,mgdb,MG-6433,MG-6433,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
VGGNOTFZVBGDLH-BFFVTFPMSA-N,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc([C@H]7CC[C@@H](Oc8cccnc8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,O=C1CCC(N2Cc3cc(C4CCN(Cc5ccc(CC(=O)Nc6cc(C7CCC(Oc8cccnc8)C7)n[nH]6)cc5)CC4)ccc3C2=O)C(=O)N1,defined,mgdb,MG-6432,MG-6432,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
PAIYMJYGYJIYMW-RILMKYMHSA-N,C[C@@H]1CCN1C(=O)O[C@@H]1CC[C@H](c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,CC1CCN1C(=O)OC1CCC(c2cc(NC(=O)Cc3ccc(CN4CCN(c5ccc6c(c5)C(=O)N(C5CCC(=O)NC5=O)C6=O)CC4)cc3)n[nH]2)C1,defined,mgdb,MG-6356,MG-6356,,,,CDK2,unknown,1,degradation_evidence,NanoBRET,False,,False,False,False,,,,,False,patent:754,train
