Property,Dataset1,Dataset2,KS_Stat,KS_pval,Wasserstein
MW,Positives,PMD-v1,0.1,0.7020569828664881,0.18585921924375265
LogP,Positives,PMD-v1,0.15,0.21117008625127576,0.16235968377751697
TPSA,Positives,PMD-v1,0.09,0.8154147124661313,0.24722985337743808
HBD,Positives,PMD-v1,0.06,0.9942356257694902,0.1832012061783812
HBA,Positives,PMD-v1,0.08,0.9084105017744525,0.18211406288849263
Rotatable_bonds,Positives,PMD-v1,0.1,0.7020569828664881,0.17639876494624845
Ring_count,Positives,PMD-v1,0.08,0.9084105017744525,0.3211573225594807
FSP3,Positives,PMD-v1,0.08,0.9084105017744525,0.10951614898326
Aromatic_ring_count,Positives,PMD-v1,0.15,0.21117008625127576,0.1706513119015071
Heteroatom_fraction,Positives,PMD-v1,0.1,0.7020569828664881,0.16425860280893823
