seed,fold,auroc,auprc,recall@5,lift@5,brier
42,1,0.9701249999999999,0.9622809724917519,0.09,1.8,0.06059855485262545
42,2,0.948375,0.933808388087582,0.09,1.8,0.0721498213163878
42,3,0.9602793296089386,0.954095700241684,0.09,1.895,0.0630587326482695
42,4,0.9748324022346369,0.9733581059752504,0.09,1.895,0.05697819893917288
42,5,0.9719273743016761,0.9592963115282519,0.09,1.895,0.04610360456459935
101,1,0.9731111111111111,0.9740866660868784,0.095,1.9000000000000001,0.056512756142923795
101,2,0.97575,0.968032477001811,0.09,1.8,0.0516721705412501
101,3,0.9638268156424581,0.9539738023862533,0.09,1.895,0.05549717977488397
101,4,0.955572625698324,0.9378082122261491,0.085,1.7897222222222222,0.06491518437552043
101,5,0.9684078212290502,0.9593906560771468,0.09,1.895,0.053848084235563816
1234,1,0.9743055555555555,0.9718701387476137,0.095,1.9000000000000001,0.05410548652835171
1234,2,0.9612222222222222,0.9470488207105624,0.09,1.8,0.06220252607565788
1234,3,0.9801117318435755,0.9817915974915881,0.09,1.895,0.05373826517914009
1234,4,0.9626955307262569,0.9609534983770545,0.09,1.895,0.059820245403971226
1234,5,0.9681564245810057,0.951688838587911,0.085,1.7897222222222222,0.0570178036741503
777,1,0.9441111111111111,0.9193926525463518,0.095,1.9000000000000001,0.07621031104103386
777,2,0.9573055555555555,0.9470004454026419,0.095,1.9000000000000001,0.06105502176449158
777,3,0.966326815642458,0.9616402404447127,0.09,1.895,0.06301761732614317
777,4,0.9807122905027933,0.9810066925237177,0.09,1.895,0.0502173356124138
777,5,0.9638966480446927,0.9643057522341678,0.09,1.895,0.06777410444125992
2026,1,0.9692500000000001,0.9662992114978959,0.095,1.9000000000000001,0.05620491097697339
2026,2,0.9869444444444444,0.9834949834365506,0.095,1.9000000000000001,0.03987391825557374
2026,3,0.9538826815642458,0.9447233533533643,0.09,1.895,0.0740449389193192
2026,4,0.9594832402234635,0.9360544018530559,0.08,1.6844444444444444,0.06201091230895941
2026,5,0.9739385474860335,0.9750980077479889,0.09,1.895,0.05562144392619268
