compound_id,smiles,mol,score,Max_Tc_Train,MW,LogP,PAINS_Flag
ZINC_250K_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,<rdkit.Chem.rdchem.Mol object at 0x000001E1E575B3E0>,0.34070554,0.1111111111111111,168.236,0.7742,False
ZINC_250K_9994,NC(=O)CSSCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6885150>,0.3407012,0.13043478260869565,180.25399999999996,-0.6616,False
ZINC_250K_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E9734270>,0.34069,0.09433962264150944,304.775,3.723,False
ZINC_250K_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B1540>,0.34068987,0.08196721311475409,229.73499999999996,0.29000000000000004,False
ZINC_250K_1383,SCCCCn1cc[nH+]c1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E979AA40>,0.34068432,0.09836065573770492,157.26200000000003,1.0122,False
ZINC_250K_8114,Clc1cscc1-c1cscc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67CAF10>,0.34068224,0.13043478260869565,235.16,4.783400000000001,False
ZINC_250K_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E978CCF0>,0.3406777,0.08450704225352113,216.23299999999998,0.9717999999999998,False
ZINC_250K_2233,C/C=C/COCC(CC)(CC)CS,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5727E60>,0.34067255,0.07575757575757576,202.363,3.315300000000003,False
ZINC_250K_6199,CC(C)[NH+](C)CCOCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B0E40>,0.34067225,0.09523809523809523,162.277,-1.8319999999999963,False
ZINC_250K_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5765D20>,0.34067166,0.09230769230769231,207.15499999999997,3.842100000000003,False
ZINC_250K_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58298C0>,0.3406708,0.08433734939759036,214.398,2.0225,False
ZINC_250K_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58D0740>,0.34066308,0.13333333333333333,188.315,-1.8515999999999964,False
ZINC_250K_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57B5150>,0.3406575,0.0967741935483871,182.31099999999995,-1.5071999999999968,False
ZINC_250K_4465,OC[C@@H](Br)C(F)(F)Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5803D80>,0.34065545,0.15789473684210525,253.86799999999997,1.7299,False
ZINC_250K_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5784C80>,0.34065142,0.109375,190.331,-1.7545999999999962,False
ZINC_250K_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5872180>,0.34065053,0.10294117647058823,202.38599999999997,-0.2349999999999972,False
ZINC_250K_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57A84A0>,0.34065035,0.11940298507462686,174.308,0.46059999999999973,False
ZINC_250K_7615,OC[C@H]1CCC[NH+]1C1CCCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6797990>,0.34065014,0.10666666666666667,212.3569999999999,1.1388999999999991,False
ZINC_250K_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BD700>,0.3406489,0.17142857142857143,263.16700000000003,4.741500000000003,False
ZINC_250K_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67D7300>,0.34064713,0.0967741935483871,198.35399999999996,0.14740000000000086,False
ZINC_250K_8987,CC(C)c1n[nH]c(=S)n1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E681DD90>,0.34064645,0.125,157.242,1.60109,False
ZINC_250K_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68ADFC0>,0.340644,0.13043478260869565,182.20899999999997,1.4667999999999999,False
ZINC_250K_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5864F20>,0.3406427,0.19298245614035087,252.342,4.406290000000002,False
ZINC_250K_1438,C[C@@H](Cl)[C@@H](C)c1cscc1Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E97A4580>,0.34064174,0.10909090909090909,253.59199999999998,4.241400000000002,False
ZINC_250K_4914,CCC1(CC)CC[NH+](CCCCS)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5831700>,0.34064162,0.10294117647058823,230.44099999999995,2.1814999999999998,False
ZINC_250K_4191,CC(C)[C@@H](Cl)[C@@H]1CCC[C@H]1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57EB4C0>,0.3406387,0.11475409836065574,174.71499999999997,3.6860000000000026,False
ZINC_250K_8849,CN(C)C(=S)SCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68159A0>,0.3406382,0.11864406779661017,178.28199999999998,0.0514,False
ZINC_250K_9048,C[NH2+][C@@H](CCOC)COC(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E681FA70>,0.34063643,0.109375,176.28,0.009700000000000264,False
ZINC_250K_7113,C=C(C)C[C@@H]([NH3+])COCCC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E676C660>,0.34063604,0.10714285714285714,158.26499999999996,0.9896999999999999,False
ZINC_250K_8437,Nc1ccc(/N=N\c2ccccc2)c(N)c1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67ECE40>,0.3406357,0.16923076923076924,212.25600000000003,3.2664,True
ZINC_250K_1930,CC(C)[C@@H](C[NH+](C)C)C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E570F0D0>,0.34063554,0.1111111111111111,159.22899999999998,-1.8469999999999973,False
ZINC_250K_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E975DB60>,0.34063476,0.10344827586206896,315.452,3.7856999999999994,False
ZINC_250K_9434,Nc1ncn(CC(F)(F)F)n1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E684BAE0>,0.340634,0.18823529411764706,166.106,0.4225999999999999,False
ZINC_250K_7952,CC(C)[C@@H](CCOCCO)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BDC40>,0.34063345,0.12121212121212122,190.28300000000002,1.0384,False
ZINC_250K_7259,CCC[NH+](C1CC1)[C@@H]1CC[C@H]([NH2+]C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6780C10>,0.3406323,0.109375,198.35399999999996,-0.44199999999999706,False
ZINC_250K_8499,OCC#Cc1ccc(Br)cc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67EECE0>,0.34063062,0.18181818181818182,211.058,1.7928999999999997,False
ZINC_250K_10241,N[C@H](c1ccc([S-])cc1)C(F)(F)F,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68A4820>,0.34062928,0.12698412698412698,206.21199999999996,2.1544999999999996,False
ZINC_250K_9299,C1=CC[C@H](C[NH+]2CC[C@@H](C[NH+]3CCCC3)C2)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6837760>,0.3406282,0.1,250.42999999999992,-0.0737999999999972,False
ZINC_250K_3107,C[C@H]([NH3+])[C@H]1CCCC(C)(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5786420>,0.34062773,0.14754098360655737,170.32,2.223299999999999,False
ZINC_250K_5118,CC[C@@H](C)N1C(=O)C=CC1=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5847A70>,0.340626,0.13725490196078433,153.18099999999998,0.7099,False
ZINC_250K_3431,CC(C)C[NH+](C)CCC(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E57A8270>,0.34062454,0.11666666666666667,159.22899999999998,-1.7028999999999976,False
ZINC_250K_1769,C[C@H]1CO[C@H]([C@]2(C)OC[C@H](C)O2)O1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5702340>,0.34062353,0.10256410256410256,188.22299999999996,0.8993,False
ZINC_250K_7051,CS(=O)(=O)CCSCCCS,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6766730>,0.340623,0.10714285714285714,214.37699999999998,1.0840999999999998,False
ZINC_250K_7161,CCC[C@@H](C)[C@H](O)[C@H](C#N)CC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E676DE00>,0.34062198,0.125,169.26799999999994,2.3332800000000002,False
ZINC_250K_10077,CO[C@@H]1CCC[C@@H]([NH2+]C2C(C)(C)C2(C)C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6887920>,0.3406219,0.18072289156626506,226.384,1.942,False
ZINC_250K_4636,O=C=NC(c1ccccc1)(c1ccccc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5818F90>,0.3406212,0.1891891891891892,285.346,4.314300000000003,False
ZINC_250K_9073,C=CC[n+]1cccc2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x000001E1E682C820>,0.34062004,0.1951219512195122,170.23499999999999,2.3133,True
