compound_id,smiles,MG_Score,score,Tc,Lipinski,PAINS
ZINC_250K_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,0.9704894456360954,0.34070554,0.09836065573770492,1,0
ZINC_250K_9994,NC(=O)CSSCC(N)=O,0.9430988068363952,0.3407012,0.15555555555555556,1,0
ZINC_250K_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,0.9388598345353868,0.34068987,0.08064516129032258,1,0
ZINC_250K_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.9300265431262321,0.34069,0.1111111111111111,1,0
ZINC_250K_1383,SCCCCn1cc[nH+]c1,0.9256441422060075,0.34068432,0.08108108108108109,1,0
ZINC_250K_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.903017588981547,0.3406777,0.1044776119402985,1,0
ZINC_250K_8114,Clc1cscc1-c1cscc1Cl,0.8940007401493955,0.34068224,0.1702127659574468,1,0
ZINC_250K_6199,CC(C)[NH+](C)CCOCC[NH3+],0.8929402918593803,0.34067225,0.09523809523809523,1,0
ZINC_250K_2233,C/C=C/COCC(CC)(CC)CS,0.8881281041178715,0.34067255,0.11363636363636363,1,0
ZINC_250K_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,0.8853658659434044,0.3406708,0.10909090909090909,1,0
ZINC_250K_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,0.87567626685634,0.34067166,0.14814814814814814,1,0
ZINC_250K_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,0.8670796378514183,0.34066308,0.109375,1,0
ZINC_250K_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,0.8511432718425257,0.3406575,0.11864406779661017,1,0
ZINC_250K_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,0.8407262585183817,0.34065053,0.09859154929577464,1,0
ZINC_250K_4465,OC[C@@H](Br)C(F)(F)Br,0.8397158248655643,0.34065545,0.140625,1,0
ZINC_250K_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,0.8395895252149794,0.34065142,0.109375,1,0
ZINC_250K_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,0.8323793476403049,0.34065035,0.125,1,0
ZINC_250K_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,0.8299800461826694,0.34064713,0.1076923076923077,1,0
ZINC_250K_7615,OC[C@H]1CCC[NH+]1C1CCCCCCC1,0.8246081232927525,0.34065014,0.14925373134328357,1,0
ZINC_250K_8987,CC(C)c1n[nH]c(=S)n1C,0.8210619000174988,0.34064645,0.1320754716981132,1,0
ZINC_250K_4914,CCC1(CC)CC[NH+](CCCCS)CC1,0.8197196630131549,0.34064162,0.09859154929577464,1,0
ZINC_250K_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,0.8189083171736925,0.340644,0.12,1,0
ZINC_250K_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,0.8119153113347185,0.3406489,0.18181818181818182,1,0
ZINC_250K_4191,CC(C)[C@@H](Cl)[C@@H]1CCC[C@H]1C,0.8084505472789727,0.3406387,0.11320754716981132,1,0
ZINC_250K_1438,C[C@@H](Cl)[C@@H](C)c1cscc1Br,0.806722902056038,0.34064174,0.14285714285714285,1,0
ZINC_250K_7113,C=C(C)C[C@@H]([NH3+])COCCC,0.8020505730410686,0.34063604,0.11363636363636363,1,0
ZINC_250K_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,0.8008160073050437,0.34063476,0.1076923076923077,1,0
ZINC_250K_7259,CCC[NH+](C1CC1)[C@@H]1CC[C@H]([NH2+]C)C1,0.7953238988335763,0.3406323,0.10666666666666667,1,0
ZINC_250K_1930,CC(C)[C@@H](C[NH+](C)C)C(=O)[O-],0.7945780454508735,0.34063554,0.1346153846153846,1,0
ZINC_250K_8849,CN(C)C(=S)SCC(N)=O,0.7941751666038847,0.3406382,0.1568627450980392,1,0
ZINC_250K_9048,C[NH2+][C@@H](CCOC)COC(C)C,0.7926165182989098,0.34063643,0.14814814814814814,1,0
ZINC_250K_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,0.7889401559961604,0.3406427,0.20967741935483872,1,0
ZINC_250K_7952,CC(C)[C@@H](CCOCCO)[C@@H](C)O,0.7847521689478117,0.34063345,0.1509433962264151,1,0
ZINC_250K_9299,C1=CC[C@H](C[NH+]2CC[C@@H](C[NH+]3CCCC3)C2)CC1,0.7823634465544976,0.3406282,0.11764705882352941,1,0
ZINC_250K_10241,N[C@H](c1ccc([S-])cc1)C(F)(F)F,0.7762038182021502,0.34062928,0.14666666666666667,1,0
ZINC_250K_8499,OCC#Cc1ccc(Br)cc1,0.7740479907838881,0.34063062,0.1643835616438356,1,0
ZINC_250K_9434,Nc1ncn(CC(F)(F)F)n1,0.7713318912419524,0.340634,0.2,1,0
ZINC_250K_3107,C[C@H]([NH3+])[C@H]1CCCC(C)(C)CC1,0.768162375408632,0.34062773,0.16129032258064516,1,0
ZINC_250K_7051,CS(=O)(=O)CCSCCCS,0.7669362842555656,0.340623,0.1282051282051282,1,0
ZINC_250K_3431,CC(C)C[NH+](C)CCC(=O)[O-],0.7661714494533667,0.34062454,0.14285714285714285,1,0
ZINC_250K_7161,CCC[C@@H](C)[C@H](O)[C@H](C#N)CC,0.7642833498526711,0.34062198,0.12903225806451613,1,0
ZINC_250K_10077,CO[C@@H]1CCC[C@@H]([NH2+]C2C(C)(C)C2(C)C)C1,0.7622638753240001,0.3406219,0.13513513513513514,1,0
ZINC_250K_6539,CC(C)(C)[C@]1(C(F)(F)C(F)(F)F)CCC[NH2+]1,0.7619934145494848,0.34061956,0.11764705882352941,1,0
ZINC_250K_1769,C[C@H]1CO[C@H]([C@]2(C)OC[C@H](C)O2)O1,0.7576677814547469,0.34062353,0.16326530612244897,1,0
ZINC_250K_3630,CCC[NH+](CCC)[C@@H]1CCC[C@H]([NH2+]C)C1,0.7545638673243606,0.34061828,0.1323529411764706,1,0
ZINC_250K_9440,SCC1(C[NH+]2CCCSCC2)CCCCC1,0.7528719290103699,0.34061363,0.10144927536231885,1,0
ZINC_250K_5118,CC[C@@H](C)N1C(=O)C=CC1=O,0.7493128557597184,0.340626,0.21052631578947367,1,0
ZINC_250K_8001,C=CC(=O)N[C@@H](OC)C(=O)OC,0.7484573727361297,0.34061894,0.15789473684210525,1,0
