compound_id,smiles,mol,score,Max_Tc_Train
ZINC_250K_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,<rdkit.Chem.rdchem.Mol object at 0x000001E1E575B3E0>,0.34070554,0.1111111111111111
ZINC_250K_9994,NC(=O)CSSCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6885150>,0.3407012,0.13043478260869565
ZINC_250K_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E9734270>,0.34069,0.09433962264150944
ZINC_250K_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B1540>,0.34068987,0.08196721311475409
ZINC_250K_1383,SCCCCn1cc[nH+]c1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E979AA40>,0.34068432,0.09836065573770492
ZINC_250K_8114,Clc1cscc1-c1cscc1Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67CAF10>,0.34068224,0.13043478260869565
ZINC_250K_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E978CCF0>,0.3406777,0.08450704225352113
ZINC_250K_2233,C/C=C/COCC(CC)(CC)CS,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5727E60>,0.34067255,0.07575757575757576
ZINC_250K_6199,CC(C)[NH+](C)CCOCC[NH3+],<rdkit.Chem.rdchem.Mol object at 0x000001E1E58B0E40>,0.34067225,0.09523809523809523
ZINC_250K_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5765D20>,0.34067166,0.09230769230769231
ZINC_250K_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58298C0>,0.3406708,0.08433734939759036
ZINC_250K_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E58D0740>,0.34066308,0.13333333333333333
ZINC_250K_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57B5150>,0.3406575,0.0967741935483871
ZINC_250K_4465,OC[C@@H](Br)C(F)(F)Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5803D80>,0.34065545,0.15789473684210525
ZINC_250K_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5784C80>,0.34065142,0.109375
ZINC_250K_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5872180>,0.34065053,0.10294117647058823
ZINC_250K_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57A84A0>,0.34065035,0.11940298507462686
ZINC_250K_7615,OC[C@H]1CCC[NH+]1C1CCCCCCC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6797990>,0.34065014,0.10666666666666667
ZINC_250K_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BD700>,0.3406489,0.17142857142857143
ZINC_250K_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67D7300>,0.34064713,0.0967741935483871
ZINC_250K_8987,CC(C)c1n[nH]c(=S)n1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E681DD90>,0.34064645,0.125
ZINC_250K_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68ADFC0>,0.340644,0.13043478260869565
ZINC_250K_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5864F20>,0.3406427,0.19298245614035087
ZINC_250K_1438,C[C@@H](Cl)[C@@H](C)c1cscc1Br,<rdkit.Chem.rdchem.Mol object at 0x000001E1E97A4580>,0.34064174,0.10909090909090909
ZINC_250K_4914,CCC1(CC)CC[NH+](CCCCS)CC1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E5831700>,0.34064162,0.10294117647058823
ZINC_250K_4191,CC(C)[C@@H](Cl)[C@@H]1CCC[C@H]1C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E57EB4C0>,0.3406387,0.11475409836065574
ZINC_250K_8849,CN(C)C(=S)SCC(N)=O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E68159A0>,0.3406382,0.11864406779661017
ZINC_250K_9048,C[NH2+][C@@H](CCOC)COC(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001E1E681FA70>,0.34063643,0.109375
ZINC_250K_7113,C=C(C)C[C@@H]([NH3+])COCCC,<rdkit.Chem.rdchem.Mol object at 0x000001E1E676C660>,0.34063604,0.10714285714285714
ZINC_250K_8437,Nc1ccc(/N=N\c2ccccc2)c(N)c1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67ECE40>,0.3406357,0.16923076923076924
ZINC_250K_1930,CC(C)[C@@H](C[NH+](C)C)C(=O)[O-],<rdkit.Chem.rdchem.Mol object at 0x000001E1E570F0D0>,0.34063554,0.1111111111111111
ZINC_250K_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,<rdkit.Chem.rdchem.Mol object at 0x000001E1E975DB60>,0.34063476,0.10344827586206896
ZINC_250K_9434,Nc1ncn(CC(F)(F)F)n1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E684BAE0>,0.340634,0.18823529411764706
ZINC_250K_7952,CC(C)[C@@H](CCOCCO)[C@@H](C)O,<rdkit.Chem.rdchem.Mol object at 0x000001E1E67BDC40>,0.34063345,0.12121212121212122
ZINC_250K_7259,CCC[NH+](C1CC1)[C@@H]1CC[C@H]([NH2+]C)C1,<rdkit.Chem.rdchem.Mol object at 0x000001E1E6780C10>,0.3406323,0.109375
