compound_id,smiles,score
ZINC_250K_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,0.34070554
ZINC_250K_9994,NC(=O)CSSCC(N)=O,0.3407012
ZINC_250K_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.34069
ZINC_250K_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,0.34068987
ZINC_250K_1383,SCCCCn1cc[nH+]c1,0.34068432
ZINC_250K_8114,Clc1cscc1-c1cscc1Cl,0.34068224
ZINC_250K_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.3406777
ZINC_250K_2233,C/C=C/COCC(CC)(CC)CS,0.34067255
ZINC_250K_6199,CC(C)[NH+](C)CCOCC[NH3+],0.34067225
ZINC_250K_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,0.34067166
ZINC_250K_4786,C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,0.3406708
ZINC_250K_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,0.34066308
ZINC_250K_3590,CC1CC[NH+](C2[C@H]3C[NH2+]C[C@@H]23)CC1,0.3406575
ZINC_250K_4465,OC[C@@H](Br)C(F)(F)Br,0.34065545
ZINC_250K_3056,CCC[NH2+]CC[NH+](C)CC(C)(C)O,0.34065142
ZINC_250K_5584,C[NH2+]C[C@H](C)[C@H](C)[NH+](C)CC(C)(C)C,0.34065053
ZINC_250K_3436,CC[NH+](CC)[C@@](C)(CC)[C@@H](C)O,0.34065035
ZINC_250K_7615,OC[C@H]1CCC[NH+]1C1CCCCCCC1,0.34065014
ZINC_250K_7939,ClC1(Cl)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,0.3406489
ZINC_250K_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,0.34064713
ZINC_250K_8987,CC(C)c1n[nH]c(=S)n1C,0.34064645
ZINC_250K_10425,C=C(C)[C@H](CC(F)(F)F)[NH2+]CC,0.340644
ZINC_250K_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,0.3406427
ZINC_250K_1438,C[C@@H](Cl)[C@@H](C)c1cscc1Br,0.34064174
ZINC_250K_4914,CCC1(CC)CC[NH+](CCCCS)CC1,0.34064162
ZINC_250K_4191,CC(C)[C@@H](Cl)[C@@H]1CCC[C@H]1C,0.3406387
ZINC_250K_8849,CN(C)C(=S)SCC(N)=O,0.3406382
ZINC_250K_9048,C[NH2+][C@@H](CCOC)COC(C)C,0.34063643
ZINC_250K_7113,C=C(C)C[C@@H]([NH3+])COCCC,0.34063604
ZINC_250K_8437,Nc1ccc(/N=N\c2ccccc2)c(N)c1,0.3406357
ZINC_250K_1930,CC(C)[C@@H](C[NH+](C)C)C(=O)[O-],0.34063554
ZINC_250K_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,0.34063476
ZINC_250K_9434,Nc1ncn(CC(F)(F)F)n1,0.340634
ZINC_250K_7952,CC(C)[C@@H](CCOCCO)[C@@H](C)O,0.34063345
ZINC_250K_7259,CCC[NH+](C1CC1)[C@@H]1CC[C@H]([NH2+]C)C1,0.3406323
ZINC_250K_8499,OCC#Cc1ccc(Br)cc1,0.34063062
ZINC_250K_10241,N[C@H](c1ccc([S-])cc1)C(F)(F)F,0.34062928
ZINC_250K_9299,C1=CC[C@H](C[NH+]2CC[C@@H](C[NH+]3CCCC3)C2)CC1,0.3406282
ZINC_250K_3107,C[C@H]([NH3+])[C@H]1CCCC(C)(C)CC1,0.34062773
ZINC_250K_5118,CC[C@@H](C)N1C(=O)C=CC1=O,0.340626
ZINC_250K_3431,CC(C)C[NH+](C)CCC(=O)[O-],0.34062454
ZINC_250K_1769,C[C@H]1CO[C@H]([C@]2(C)OC[C@H](C)O2)O1,0.34062353
ZINC_250K_7051,CS(=O)(=O)CCSCCCS,0.340623
