idx,smiles,score
15850,"O=C([O-])C(O)(C(=O)[O-])C(=O)[O-]
",0.4408217
5650,"OC[C@@H](Br)[C@H](Br)CO
",0.44080698
10234,"O[C@H]1CCC2C1C1CC[C@H](O)C21
",0.44080308
30452,"CC(C)N(C(C)C)S(C)(=O)=O
",0.44079873
5408,"CCC(CC)[C@@H](C[NH3+])SC(C)C
",0.4407942
2509,"C/C(Br)=C\CCCBr
",0.44078985
35346,"[NH3+][C@@H]1CCC[C@H]1[C@@H]1CCC[NH2+]1
",0.4407891
37195,"Oc1ccc(O)c(Br)c1Br
",0.44078863
34436,"C/C(=C/C[N+](C)(C)C)C[N+](C)(C)C
",0.44078687
8698,"CC1(C)C(CN=C=S)C1(C)C
",0.44078678
35027,"CC[C@H](C)[C@H](C[NH2+]C(C)C)C(C)C
",0.44078642
22784,"[NH3+][C@@H]1CCCC[C@H]1[NH+]1CCCCC1
",0.44078603
4351,"O=c1c2c(c1=O)OCCCO2
",0.4407853
34351,"O[C@H]1CCCC[C@H]1[C@@H]1CCCCC[C@H]1O
",0.44078368
13586,"C[NH+](CC1CCC(C[NH3+])CC1)CC1CC1
",0.44078234
33663,"C[NH2+][C@]1(C[NH3+])CCCCC1(C)C
",0.44078165
25517,"O=[N+]([O-])C12CC3CC(CC(C3)C1)C2
",0.4407816
10874,"CC[C@@H](C)N(CC)[C@@H](C)C[NH3+]
",0.44078
24737,"CC(C)[NH2+]C1CC(C(C)C)C1
",0.44077966
9973,"CC[NH2+]CC[NH2+]C1C(C)(C)C1(C)C
",0.44077817
36788,"CC(C)C[C@@H](C)[NH2+][C@H](C)CC(C)C
",0.440778
20256,"C[NH2+]C1CCC([NH+](C)[C@@H](C)C2CC2)CC1
",0.440777
28876,"CSc1sc(SC)c(Br)c1Br
",0.44077688
19715,"C=CCC/C=C/CC[NH2+]C1CC1
",0.44077677
32783,"CC[NH+](C[C@H](O)C[NH2+]C)C(C)C
",0.44077614
3445,"CC1(C)CC[NH+]([C@](C)(C[NH3+])C2(C)CC2)C1
",0.44077614
27674,"CCCC[C@H](CC)[C@@H]([NH3+])C(C)C
",0.44077614
29321,"O=[N+]([O-])[C@@H]1CCS(=O)(=O)C1
",0.44077548
12131,"CCC[C@@]1(C(CC)CC)CCC[NH2+]1
",0.44077465
4091,"O=S1(=O)C[C@@H](Cl)[C@@H](C(Cl)(Cl)Cl)C1
",0.44077432
8188,"CCCC(CO)(CO)CC(C)C
",0.44077414
31790,"C[C@H](O)[C@@H](C)[NH+](CCO)CCO
",0.44077346
4652,"O=C([O-])C1(O)CCC(F)(F)CC1
",0.4407727
38008,"C[C@@H]1CCC[C@@H](C)[NH+]1[C@@H]1CCC[C@H]([NH3+])C1
",0.44077262
32367,"CCC[NH+](CCC)CC(=O)NC
",0.44077224
17534,"O=C([O-])/C=C\C(F)(C(F)(F)F)C(F)(F)F
",0.44077215
25142,"CCCC12C[C@@H]3C[C@@H](CC([NH3+])(C3)C1)C2
",0.4407721
37312,"C/C=C/COCC(CC)(CC)CS
",0.44077182
1326,"CC1(C)[C@H]2CC[C@]1(C)[C@H]([NH3+])C2
",0.44077125
35276,"[NH3+][C@@H](COP(=O)([O-])[O-])C(=O)[O-]
",0.44077125
29137,"N#CCc1ccc(Cc2ccc(CC#N)cc2)cc1
",0.44077012
34399,"CC#CC[N+](C)(C)CCCCCC
",0.44077003
19700,"CC1(C)C[NH+](CCCCC#N)C1
",0.44076955
36972,"CC[C@@H]1CCCC[C@H]1[NH2+]C1C(C)(C)C1(C)C
",0.44076946
13968,"CC(C)[C@H](C)N(C)C(=O)CC[C@@H](C)O
",0.4407694
4516,"CCCCOS(C)(=O)=O
",0.44076928
10733,"Clc1cscc1-c1cscc1Cl
",0.44076863
19475,"C[C@@H](Cl)C1CCCCCC1
",0.44076788
14217,"[NH3+]CC[NH+]1CCC(CO)CC1
",0.4407677
20839,"C=CCCC[C@@]1(C)CCCCC[NH2+]1
",0.44076705
20254,"CC(C)(C)c1ccc(C=C2C[NH2+]C2)cc1
",0.4407667
28964,"CCC(=O)[C@H](CC)C(=O)OC
",0.44076654
35343,"C[NH+](C)CC(=O)OCC[N+](C)(C)C
",0.44076636
35786,"FC(F)(F)[C@@H]1C[NH2+]C[C@H](C(F)(F)F)C1
",0.44076622
10086,"CC(C)(C#CC#CC(C)(C)OCCC#N)OCCC#N
",0.44076622
31515,"C=C1c2ccccc2C=Cc2ccccc21
",0.44076595
8583,"O=C1O[C@@H]2C=C[C@@H]3OC(=O)[C@@H]4C=C[C@H]1C4C32
",0.44076547
13880,"Cc1scnc1Br
",0.44076538
11189,"CC[C@H](C)S[C@@H](C)CCO
",0.4407653
39585,"CC[C@@H](CS)C[NH+](CC)CCO
",0.44076437
12602,"CC(C)CC1([NH3+])CCC(F)(F)CC1
",0.44076398
7930,"O=C(C1CC1)N(C1CCCC1)C1CCCC1
",0.44076386
18745,"C[C@@H]1C[C@@H]([NH+]2C[C@H](O)[C@H](O)C2)CC(C)(C)C1
",0.44076335
38223,"C=CC[S@](=O)C/C=C\[S@](=O)CC
",0.44076306
9356,"COC(C)(C)C[C@H](C)[C@@H](C)O
",0.4407627
4783,"C[C@H]1CCC[C@H](C)C1[NH2+]C1CCC(O)CC1
",0.44076252
7098,"CCO[C@H]1[C@@H](OCC)N(S(C)(=O)=O)CCN1S(C)(=O)=O
",0.44076243
14339,"C[C@@H]([NH2+]C(C)(C)CO)C1(C)CC1
",0.44076243
28548,"CC(C)c1n[nH]c(=S)n1C
",0.44076228
19406,"N#C[C@H]1CS(=O)(=O)C[C@@H]1O
",0.44076222
8703,"ClCC[NH+]1C[C@H]2[C@@H]3CC[C@@H](C3)[C@H]2C1
",0.44076204
20020,"C=CCc1c(Cl)nc(Cl)nc1Cl
",0.44076195
35504,"C=C(C(=O)Cl)C(F)(F)F
",0.4407614
27088,"C[C@@H]1C[NH2+]CC[C@@H]1[NH+]1CCC(C)(C)C1
",0.4407612
11068,"CC(C)([C@@H]([NH3+])C1CC1)[NH+]1CCCC1
",0.44076112
30504,"CC(C)CC1(CCOC(C)C)C[NH2+]C1
",0.44076103
12397,"CS(=O)(=O)CS(=O)(=O)OCCCl
",0.4407608
37012,"CC(C)[C@H](C)[NH+](C)C[C@H]1CC[NH2+][C@H]1C
",0.4407607
26655,"COC(=O)C[C@@H](C=O)C(=O)OC
",0.4407606
38291,"N#CC1(N2CCN(C3(C#N)CCCCC3)CC2)CCCCC1
",0.44076046
28881,"c1ccc([C@@H]2C[NH2+]C[C@H]2c2ccccc2)cc1
",0.44076002
27539,"CCCCC[NH+]1CCC(NC)CC1
",0.44075993
30464,"OC[C@@H](Br)C(F)(F)Br
",0.4407597
24054,"CCC[C@](C)(C[NH3+])C[NH+]1C[C@@H](C)[C@@H](C)C1
",0.44075918
13133,"C[NH2+]C1C[C@@H]2CC[C@H](C1)[NH+]2[C@H]1CCCCC1(C)C
",0.44075894
19409,"O=C([O-])C(Cl)(c1ccccc1)c1ccccc1
",0.44075868
15289,"C[C@H]1CCC[C@@H](C[N+](C)(C)C2CCCC2)C1
",0.44075862
22612,"CC[NH+](C)[C@@H]1CCCCCCCCCC[C@@H]1[NH3+]
",0.44075844
16410,"CC[NH2+][C@@H](CC)C(C)(C)[NH+]1CCCCC1
",0.44075835
5945,"CCC(CC)C1(C[NH2+]C)CCCC1
",0.44075826
13004,"OC/C=C/c1c(F)c(F)c(F)c(F)c1F
",0.44075775
29144,"CCN(CC)C(=O)[C@H](C)Cl
",0.4407576
14819,"Cc1cc(Br)cc(C)c1N(C)C
",0.44075713
36578,"ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2
",0.44075668
11543,"O=c1[nH]c2c(c(=O)[nH]1)C[NH2+]C2
",0.44075626
35547,"CC(C)[C@H]1CN(C2C(C)(C)C2(C)C)[C@H](C(C)C)C[NH2+]1
",0.44075593
18055,"[O-]c1cc(C(F)(F)F)ncn1
",0.4407556
136,"CCOC[C@H]([NH3+])CSCC
",0.44075534
16605,"CC[C@H](Cl)C1CCC(C)CC1
",0.4407552
5444,"O=Cc1ccc(/C=C\c2ccccc2)cc1
",0.4407552
29250,"CC[NH2+][C@@H]1CCC[C@@H]1CC[NH+]1CCCCC1
",0.4407551
24785,"CC[C@@H]1CCC[C@H](CBr)C1
",0.440755
35330,"COC(=O)/C=C/SC(C)(C)C
",0.44075492
30770,"CCC(CC)[C@@H](CCC(F)(F)F)[NH2+]C
",0.44075465
35171,"CC(C)[NH+]1[C@H](c2ccccc2)[C@H]1c1ccccc1
",0.44075453
18935,"CC1(C)CC[C@H]2[NH2+]C3(CCCC3)CO[C@H]21
",0.44075444
39539,"C[NH2+][C@@H](COC)C1CCC(C(C)C)CC1
",0.44075435
20987,"c1ccc(Oc2ncccn2)cc1
",0.44075435
13681,"C=COC(=O)N1CCCCC1
",0.44075435
9913,"[NH3+]C[C@@H]1CCCCC[C@H]1[NH+]1CCCC1
",0.44075423
