compound_id,smiles,score,docking_affinity
ZINC_29252,FC(F)(Cl)C(F)(F)C(F)(F)Cl,0.4316419,0.0
ZINC_41626,Cl/C=C/C(Cl)(Cl)Cl,0.43162987,0.0
ZINC_17012,CCC(CC)[C@@H](CC)[C@H](C)O,0.43162465,0.0
ZINC_9994,NC(=O)CSSCC(N)=O,0.43160805,0.0
ZINC_45400,[NH3+]CCCC[NH+]1CCCCC1,0.43160504,0.0
ZINC_12317,CCC(CC)[C@H]([NH3+])CCC(C)C,0.43160263,0.0
ZINC_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.43160236,0.0
ZINC_24208,CC1(C)OC(=O)C(Br)(Br)C(=O)O1,0.43160218,0.0
ZINC_20051,CC(C)N(C(=S)S)C(C)C,0.43160143,0.0
ZINC_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.4315989,0.0
ZINC_22313,CCSC(SCC)C1N=NN=N1,0.4315988,0.0
ZINC_45932,Fc1cc(F)c(F)c(I)c1,0.43159756,0.0
ZINC_17939,C[C@H](O)CC[C@H](O)C(C)(C)C,0.43159658,0.0
ZINC_34726,CC[C@@H](C)[NH+](CC)CCCC[NH3+],0.4315942,0.0
ZINC_36604,NC(=S)S/C=C/C(=O)[O-],0.43159276,0.0
ZINC_49282,C=C(SCC)/C(=N/C)SC,0.43159276,0.0
ZINC_43020,O=C([O-])/C=C\C(F)(C(F)(F)F)C(F)(F)F,0.4315925,0.0
ZINC_47226,F[C@H]1CCCC[C@@H]1Br,0.43159196,0.0
ZINC_25584,CC[NH2+]C[C@H](CC(C)C)[C@H](C)CC,0.43159163,0.0
ZINC_4465,OC[C@@H](Br)C(F)(F)Br,0.43159127,0.0
ZINC_20738,FC1(F)O[C@H]2C=CC=C[C@@H]2OC1(F)F,0.43159086,0.0
ZINC_34657,CCC(CC)[NH+](CC)C[C@@H](C)C#N,0.43159038,0.0
ZINC_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,0.43159014,0.0
ZINC_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,0.43159002,0.0
ZINC_23742,C[C@@H](Br)CNCCC[NH3+],0.4315891,0.0
ZINC_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,0.4315886,0.0
ZINC_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,0.4315877,0.0
ZINC_12961,CN(C)C(=O)N/C=C/NC(=O)N(C)C,0.43158725,0.0
ZINC_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,0.431587,0.0
ZINC_44328,C=C(Br)CON,0.43158686,0.0
