compound_id,smiles,score
ZINC_29252,FC(F)(Cl)C(F)(F)C(F)(F)Cl,0.4316419
ZINC_41626,Cl/C=C/C(Cl)(Cl)Cl,0.43162987
ZINC_17012,CCC(CC)[C@@H](CC)[C@H](C)O,0.43162465
ZINC_9994,NC(=O)CSSCC(N)=O,0.43160805
ZINC_45400,[NH3+]CCCC[NH+]1CCCCC1,0.43160504
ZINC_12317,CCC(CC)[C@H]([NH3+])CCC(C)C,0.43160263
ZINC_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.43160236
ZINC_24208,CC1(C)OC(=O)C(Br)(Br)C(=O)O1,0.43160218
ZINC_20051,CC(C)N(C(=S)S)C(C)C,0.43160143
ZINC_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.4315989
ZINC_22313,CCSC(SCC)C1N=NN=N1,0.4315988
ZINC_45932,Fc1cc(F)c(F)c(I)c1,0.43159756
ZINC_17939,C[C@H](O)CC[C@H](O)C(C)(C)C,0.43159658
ZINC_34726,CC[C@@H](C)[NH+](CC)CCCC[NH3+],0.4315942
ZINC_36604,NC(=S)S/C=C/C(=O)[O-],0.43159276
ZINC_49282,C=C(SCC)/C(=N/C)SC,0.43159276
ZINC_43020,O=C([O-])/C=C\C(F)(C(F)(F)F)C(F)(F)F,0.4315925
ZINC_47226,F[C@H]1CCCC[C@@H]1Br,0.43159196
ZINC_25584,CC[NH2+]C[C@H](CC(C)C)[C@H](C)CC,0.43159163
ZINC_4465,OC[C@@H](Br)C(F)(F)Br,0.43159127
ZINC_20738,FC1(F)O[C@H]2C=CC=C[C@@H]2OC1(F)F,0.43159086
ZINC_34657,CCC(CC)[NH+](CC)C[C@@H](C)C#N,0.43159038
ZINC_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,0.43159014
ZINC_698,O[C@H](c1c(F)c(F)c(F)c(F)c1F)C(Cl)(Cl)Cl,0.43159002
ZINC_23742,C[C@@H](Br)CNCCC[NH3+],0.4315891
ZINC_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,0.4315886
ZINC_6213,ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,0.4315877
ZINC_12961,CN(C)C(=O)N/C=C/NC(=O)N(C)C,0.43158725
ZINC_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,0.431587
ZINC_44328,C=C(Br)CON,0.43158686
ZINC_36081,C=CC/C(F)=C(/F)C(F)(F)F,0.43158668
ZINC_48800,CCC[C@H](C)[C@H](O)C(CC)CC,0.43158668
ZINC_8114,Clc1cscc1-c1cscc1Cl,0.4315856
ZINC_40228,OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,0.43158406
ZINC_6199,CC(C)[NH+](C)CCOCC[NH3+],0.43158376
ZINC_19060,CO[C@H](C)[C@H](Br)C(=O)[O-],0.431583
ZINC_40275,CC(C)[NH2+]C1CC(C(C)C)C1,0.43158257
ZINC_14518,O=[N+]([O-])c1cc(I)cc([N+](=O)[O-])c1,0.4315825
ZINC_49821,C=C1c2ccccc2C=Cc2ccccc21,0.4315824
ZINC_1930,CC(C)[C@@H](C[NH+](C)C)C(=O)[O-],0.43158203
ZINC_26313,[NH3+][C@@H]1CCCC[C@H]1[NH+]1CCCCC1,0.43158185
ZINC_15894,CC1([C@@]2(C)C[C@@H]2C(=O)[O-])CC1,0.4315817
ZINC_37826,C/C(=N\O)[C@H]1C[C@@H]2C=C[C@H]1C2,0.43158096
ZINC_27743,CCS[C@H]1CC[C@H]([NH2+]C)C1,0.43158096
ZINC_23560,Cc1ccc(P(C)(=O)c2ccc(C)cc2)cc1,0.4315809
ZINC_11604,OC(O)c1n[nH]c(C(O)O)n1,0.43158078
ZINC_6449,CC(C)C1C[NH+](C[C@H]([NH3+])[C@H](C)O)C1,0.4315806
ZINC_45388,CCCCC[C@H](Br)CC,0.43158033
ZINC_21619,Fc1ccc(Cl)cc1[S-],0.43158016
ZINC_44135,[NH3+]CCCCNC(=S)[S-],0.43157998
ZINC_41922,COc1cc(C)[n+](C)c(C)c1,0.43157953
ZINC_31191,C#CCC[C@@H]([NH3+])CCC(F)(F)F,0.43157926
ZINC_4071,CCSc1nnc(NC)s1,0.4315789
ZINC_32687,CC(C)[C@H](CC[C@H](C)C(=O)[O-])C(=O)[O-],0.43157873
ZINC_27113,C[C@]1(/C=N/O)CS/C(=N/O)S1,0.43157855
ZINC_5413,S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,0.43157843
ZINC_18207,O=S1(=O)C[C@@H](Cl)[C@@H](SS[C@@H]2CS(=O)(=O)C[C@@H]2Cl)C1,0.43157828
ZINC_27067,CC(C)[C@@H]1N[C@@H](O)[C@H](C(C)C)N[C@H]1O,0.43157813
ZINC_46397,CC(C)(C)C[NH2+]CC1C(C)(C)C1(C)C,0.43157795
ZINC_27634,CO[C@@H]1CS(=O)(=O)C[C@H]1OC,0.43157786
ZINC_20627,CC(C)(C[C@@H](O)C(F)(F)F)C(=O)[O-],0.43157753
ZINC_36611,Cc1no[n+]([O-])c1CC(C)C,0.431577
ZINC_40657,CCC[C@H](O)CC[C@H](O)CC,0.4315769
ZINC_7316,NC(=O)N/N=C/c1c(F)c(F)c(F)c(F)c1F,0.43157688
ZINC_17537,OC[C@H](O)c1cc(F)c(F)c(F)c1,0.43157688
ZINC_49557,CC1(C)C[C@]2(C[C@H]2C[NH3+])C(C)(C)O1,0.43157536
ZINC_24949,CC[NH+](CC(C)C)C[C@@H]([NH3+])C(C)(C)C,0.43157515
ZINC_34042,CCc1noc(C[C@H](C)[NH3+])n1,0.4315749
ZINC_17876,Cc1nnc([S-])n1CC[NH3+],0.43157473
ZINC_26777,ClC[C@H](Cl)C[n+]1ccccc1,0.43157473
ZINC_36986,[NH3+][C@@H](C(=O)[O-])c1ccc(C(=O)[O-])cc1,0.43157434
