compound_id,smiles,Score_3D
ZINC_V8_41626,Cl/C=C/C(Cl)(Cl)Cl,0.44086665
ZINC_V8_29252,FC(F)(Cl)C(F)(F)C(F)(F)Cl,0.44086185
ZINC_V8_9994,NC(=O)CSSCC(N)=O,0.44086143
ZINC_V8_2739,O[C@H]1CCC2C1C1CC[C@H](O)C21,0.44085872
ZINC_V8_18207,O=S1(=O)C[C@@H](Cl)[C@@H](SS[C@@H]2CS(=O)(=O)C[C@@H]2Cl)C1,0.44085386
ZINC_V8_45400,[NH3+]CCCC[NH+]1CCCCC1,0.44085127
ZINC_V8_1194,CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.4408474
ZINC_V8_12317,CCC(CC)[C@H]([NH3+])CCC(C)C,0.4408461
ZINC_V8_248,ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.44084525
ZINC_V8_17012,CCC(CC)[C@@H](CC)[C@H](C)O,0.44084114
ZINC_V8_12961,CN(C)C(=O)N/C=C/NC(=O)N(C)C,0.44084033
ZINC_V8_26313,[NH3+][C@@H]1CCCC[C@H]1[NH+]1CCCCC1,0.44083866
ZINC_V8_45388,CCCCC[C@H](Br)CC,0.44083858
ZINC_V8_43844,O=C1NN[C@H]2CS(=O)(=O)C[C@H]2N1,0.44083783
ZINC_V8_41274,C=C1C[C@H](C(=O)[O-])[C@@H](C(=O)[O-])C1,0.44083774
ZINC_V8_24403,C/C=C/C=N/NC(=O)N/N=C/C=C/C,0.44083688
ZINC_V8_14832,CCC(CC)C(O)(C(=O)[O-])C(CC)CC,0.44083664
ZINC_V8_20738,FC1(F)O[C@H]2C=CC=C[C@@H]2OC1(F)F,0.4408357
ZINC_V8_44328,C=C(Br)CON,0.44083533
ZINC_V8_41171,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1[NH3+],0.4408343
ZINC_V8_48800,CCC[C@H](C)[C@H](O)C(CC)CC,0.44083413
ZINC_V8_40657,CCC[C@H](O)CC[C@H](O)CC,0.44083405
ZINC_V8_47226,F[C@H]1CCCC[C@@H]1Br,0.44083354
ZINC_V8_49866,OC1CCC([NH2+][C@H]2CCNC2)CC1,0.44083348
ZINC_V8_22313,CCSC(SCC)C1N=NN=N1,0.44083303
ZINC_V8_40228,OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O,0.44083264
ZINC_V8_40860,O=C([O-])C[C@H]1C[C@@H]1CC(=O)[O-],0.44083247
ZINC_V8_2826,CC[C@H](C)[C@H](C)C[C@@H](C)Br,0.4408322
ZINC_V8_40275,CC(C)[NH2+]C1CC(C(C)C)C1,0.4408318
ZINC_V8_27634,CO[C@@H]1CS(=O)(=O)C[C@H]1OC,0.44083145
ZINC_V8_9440,SCC1(C[NH+]2CCCSCC2)CCCCC1,0.44083136
ZINC_V8_37946,CC[C@@H]([NH3+])C[NH2+]CC1C(C)(C)C1(C)C,0.4408309
ZINC_V8_33952,COC(=O)/C=C/CBr,0.4408309
ZINC_V8_23742,C[C@@H](Br)CNCCC[NH3+],0.44083065
ZINC_V8_40544,O=S1(=O)CCC(N[C@@H]2CC[NH2+]C2)CC1,0.44082978
ZINC_V8_43020,O=C([O-])/C=C\C(F)(C(F)(F)F)C(F)(F)F,0.4408293
ZINC_V8_11604,OC(O)c1n[nH]c(C(O)O)n1,0.44082907
ZINC_V8_45915,CCN(CC)C(=O)[C@H](C)[NH2+][C@@H](CO)C(C)C,0.44082877
ZINC_V8_36081,C=CC/C(F)=C(/F)C(F)(F)F,0.44082838
ZINC_V8_20663,O=Cc1cccc(C=O)c1Br,0.44082835
ZINC_V8_8247,CC1(C)C([NH2+][C@H]2CC[C@H]([NH3+])C2)C1(C)C,0.44082803
ZINC_V8_19880,CC1(C)C[NH+](CCCCC#N)C1,0.44082803
ZINC_V8_49563,CCS(=O)(=O)C(C(C)C)S(=O)(=O)CC,0.44082794
ZINC_V8_30635,C[NH2+][C@H]1CCC[C@@H]([NH+]2CCC[C@@H]2C)C1,0.44082764
ZINC_V8_20051,CC(C)N(C(=S)S)C(C)C,0.4408274
ZINC_V8_17939,C[C@H](O)CC[C@H](O)C(C)(C)C,0.44082728
ZINC_V8_42584,N=C1NC(=O)NC12CCCCC2,0.44082713
ZINC_V8_41394,C/C(=C\CCCl)C(C)(C)C,0.44082686
ZINC_V8_49821,C=C1c2ccccc2C=Cc2ccccc21,0.44082645
ZINC_V8_27791,ClC(Cl)(Cl)[C@@H]1NCCO1,0.4408263
ZINC_V8_26777,ClC[C@H](Cl)C[n+]1ccccc1,0.44082615
ZINC_V8_22990,OC[C@H]1O[C@H](O)[C@@H](F)[C@@H]1O,0.44082597
ZINC_V8_31396,CC#CC[N+](C)(C)CCCCCC,0.44082588
