original_name,rank,uniprot_accession,uniprot_protein_name,gene_names,organism,sequence_length,fuzzy_score,ambiguity_flag,api_error
1,1,Q9BYP8,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
1,2,Q9BYR8,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
1,3,P59990,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
14-3-3 protein,1,P27348,parse_error,N/A,N/A,0,24.0,NO_CONFIDENT_MATCH,
14-3-3 protein,2,Q04917,parse_error,N/A,N/A,0,24.0,NO_CONFIDENT_MATCH,
14-3-3 protein,3,P62258,parse_error,N/A,N/A,0,24.0,NO_CONFIDENT_MATCH,
14-3-3γ,1,F6TYX1,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
14-3-3γ,2,A0A8J0UA37,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
14-3-3γ,3,NO_RESULT,NO_RESULT,,,0,0.0,NO_CONFIDENT_MATCH,
14-3-3σ,1,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
14-3-3σ,2,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
14-3-3σ,3,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AKT1,1,Q38998,parse_error,N/A,N/A,0,13.33333333333333,NO_CONFIDENT_MATCH,
AKT1,2,P31750,parse_error,N/A,N/A,0,13.33333333333333,NO_CONFIDENT_MATCH,
AKT1,3,P31749,parse_error,N/A,N/A,0,13.33333333333333,NO_CONFIDENT_MATCH,
AR,1,P10275,parse_error,N/A,N/A,0,30.76923076923077,NO_CONFIDENT_MATCH,
AR,2,P15207,parse_error,N/A,N/A,0,30.76923076923077,NO_CONFIDENT_MATCH,
AR,3,P19091,parse_error,N/A,N/A,0,30.76923076923077,NO_CONFIDENT_MATCH,
AR - androgen receptor (human),1,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AR - androgen receptor (human),2,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AR - androgen receptor (human),3,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
ARAF,1,P10398,parse_error,N/A,N/A,0,26.66666666666667,NO_CONFIDENT_MATCH,
ARAF,2,P14056,parse_error,N/A,N/A,0,26.66666666666667,NO_CONFIDENT_MATCH,
ARAF,3,P04627,parse_error,N/A,N/A,0,26.66666666666667,NO_CONFIDENT_MATCH,
ASS1,1,P00966,parse_error,N/A,N/A,0,26.66666666666667,NO_CONFIDENT_MATCH,
ASS1,2,P09034,parse_error,N/A,N/A,0,26.66666666666667,NO_CONFIDENT_MATCH,
ASS1,3,P16460,parse_error,N/A,N/A,0,26.66666666666667,NO_CONFIDENT_MATCH,
"ASS1, IKZF1, SALL4",1,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
"ASS1, IKZF1, SALL4",2,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
"ASS1, IKZF1, SALL4",3,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
Aiolos,1,Q9UKT9,parse_error,N/A,N/A,0,23.529411764705888,NO_CONFIDENT_MATCH,
Aiolos,2,O08900,parse_error,N/A,N/A,0,23.529411764705888,NO_CONFIDENT_MATCH,
Aiolos,3,A2VDW9,parse_error,N/A,N/A,0,23.529411764705888,NO_CONFIDENT_MATCH,
AlphaLISA ternary – DCAF15/RBM39,1,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AlphaLISA ternary – DCAF15/RBM39,2,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AlphaLISA ternary – DCAF15/RBM39,3,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AsCas12a-crDNMT1-3,1,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AsCas12a-crDNMT1-3,2,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
AsCas12a-crDNMT1-3,3,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
BCL6,1,P41182,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
BCL6,2,P41183,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
BCL6,3,Q8N143,parse_error,N/A,N/A,0,0.0,NO_CONFIDENT_MATCH,
BCR-ABL/c-ABL,1,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
BCR-ABL/c-ABL,2,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
BCR-ABL/c-ABL,3,NO_RESULT,NO_RESULT,,,0,0.0,API_ERROR,
BDNF/NT-3 growth factors receptor,1,Q63604,parse_error,N/A,N/A,0,31.818181818181824,NO_CONFIDENT_MATCH,
